timestamp,fc_total_kw,battery_total_kw,load_total_kw,ais_speed_kn
2024-04-25 08:00:26,0.0,-0.034071999999999956,-0.034071999999999956,
2024-04-25 08:00:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:01:26,0.0,-0.03463399999999996,-0.03463399999999996,
2024-04-25 08:01:56,0.0,-0.034071999999999956,-0.034071999999999956,0.0
2024-04-25 08:02:26,0.0,-0.032946999999999976,-0.032946999999999976,
2024-04-25 08:02:56,0.0,-0.031822999999999976,-0.031822999999999976,0.0
2024-04-25 08:03:26,0.0,-0.034071999999999956,-0.034071999999999956,
2024-04-25 08:03:56,0.0,-0.033509999999999956,-0.033509999999999956,0.0
2024-04-25 08:04:26,0.0,-0.034072999999999964,-0.034072999999999964,
2024-04-25 08:04:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:05:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:05:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:06:26,0.0,-0.03520099999999997,-0.03520099999999997,
2024-04-25 08:06:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:07:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:07:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:08:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:08:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:09:26,0.0,-0.03520099999999997,-0.03520099999999997,
2024-04-25 08:09:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:10:26,0.0,-0.03519699999999997,-0.03519699999999997,
2024-04-25 08:10:56,0.0,-0.03519699999999997,-0.03519699999999997,0.0
2024-04-25 08:11:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:11:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:12:26,0.0,-0.034071999999999956,-0.034071999999999956,
2024-04-25 08:12:56,0.0,-0.03633599999999996,-0.03633599999999996,0.0
2024-04-25 08:13:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:13:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:14:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:14:56,0.0,-0.03689499999999997,-0.03689499999999997,0.0
2024-04-25 08:15:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:15:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:16:26,0.0,-0.03576999999999997,-0.03576999999999997,
2024-04-25 08:16:56,0.0,-0.03633599999999996,-0.03633599999999996,0.0
2024-04-25 08:17:26,0.0,-0.033508999999999976,-0.033508999999999976,
2024-04-25 08:17:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:18:26,0.0,-0.03520099999999997,-0.03520099999999997,
2024-04-25 08:18:56,0.0,-0.035196999999999964,-0.035196999999999964,0.0
2024-04-25 08:19:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:19:56,0.0,-0.034071999999999956,-0.034071999999999956,0.0
2024-04-25 08:20:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:20:56,0.0,-0.035762999999999975,-0.035762999999999975,0.0
2024-04-25 08:21:26,0.0,-0.036332999999999976,-0.036332999999999976,
2024-04-25 08:21:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:22:26,0.0,-0.03577299999999998,-0.03577299999999998,
2024-04-25 08:22:56,0.0,-0.034071999999999956,-0.034071999999999956,0.0
2024-04-25 08:23:26,0.0,-0.036332999999999976,-0.036332999999999976,
2024-04-25 08:23:56,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:24:26,0.0,-0.03689899999999997,-0.03689899999999997,
2024-04-25 08:24:56,0.0,-0.03576699999999997,-0.03576699999999997,0.0
2024-04-25 08:25:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:25:56,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:26:26,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:26:56,0.0,-0.036332999999999976,-0.036332999999999976,0.0
2024-04-25 08:27:26,0.0,-0.034071999999999956,-0.034071999999999956,
2024-04-25 08:27:56,0.0,-0.03407499999999998,-0.03407499999999998,0.0
2024-04-25 08:28:26,0.0,-0.03576999999999997,-0.03576999999999997,
2024-04-25 08:28:56,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:29:26,0.0,-0.03689899999999997,-0.03689899999999997,
2024-04-25 08:29:56,0.0,-0.03689499999999998,-0.03689499999999998,0.0
2024-04-25 08:30:26,0.0,-0.03576299999999996,-0.03576299999999996,
2024-04-25 08:30:56,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:31:26,0.0,-0.03689499999999998,-0.03689499999999998,
2024-04-25 08:31:56,0.0,-0.036897999999999966,-0.036897999999999966,0.0
2024-04-25 08:32:26,0.0,-0.037460999999999973,-0.037460999999999973,
2024-04-25 08:32:56,0.0,-0.037460999999999973,-0.037460999999999973,0.0
2024-04-25 08:33:26,0.0,-0.03577299999999998,-0.03577299999999998,
2024-04-25 08:33:56,0.0,-0.03520999999999997,-0.03520999999999997,0.0
2024-04-25 08:34:26,0.0,-0.03577199999999995,-0.03577199999999995,
2024-04-25 08:34:56,0.0,-0.035767999999999966,-0.035767999999999966,0.0
2024-04-25 08:35:26,0.0,-0.03633399999999996,-0.03633399999999996,
2024-04-25 08:35:56,0.0,-0.03633499999999996,-0.03633499999999996,0.0
2024-04-25 08:36:26,0.0,-0.03577299999999998,-0.03577299999999998,
2024-04-25 08:36:56,0.0,-0.03577299999999998,-0.03577299999999998,0.0
2024-04-25 08:37:26,0.0,-0.034634999999999964,-0.034634999999999964,
2024-04-25 08:37:56,0.0,-0.034634999999999964,-0.034634999999999964,0.0
2024-04-25 08:38:26,0.0,-0.037460999999999973,-0.037460999999999973,
2024-04-25 08:38:56,0.0,-0.03519699999999997,-0.03519699999999997,0.0
2024-04-25 08:39:26,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:39:56,0.0,-0.03689899999999997,-0.03689899999999997,0.0
2024-04-25 08:40:26,0.0,-0.037460999999999973,-0.037460999999999973,
2024-04-25 08:40:56,0.0,-0.03802299999999998,-0.03802299999999998,0.0
2024-04-25 08:41:26,0.0,-0.03858499999999996,-0.03858499999999996,
2024-04-25 08:41:56,0.0,-0.03914699999999995,-0.03914699999999995,0.0
2024-04-25 08:42:26,0.0,-0.03746099999999996,-0.03746099999999996,
2024-04-25 08:42:56,0.0,-0.03802299999999998,-0.03802299999999998,0.0
2024-04-25 08:43:26,0.0,-0.036896999999999965,-0.036896999999999965,
2024-04-25 08:43:56,0.0,4.923102,4.923102,0.0
2024-04-25 08:44:26,0.0,1.3551199999999999,1.3551199999999999,
2024-04-25 08:44:56,0.0,0.8626170000000004,0.8626170000000004,0.0
