voyage_id,completed,solver_failure_count,primal_infeasible_count,max_iter_count,total_h2_kg,initial_soc,final_soc,min_soc,max_soc,max_batt_discharge_kw,max_batt_charge_magnitude_kw,sum_fc_delta_sq_kw2,max_power_balance_residual_kw,max_fc_ramp_kw_per_step,mean_solve_time_ms,p95_solve_time_ms
voyage_061,true,0,0,0,27.311043102535333,0.55,0.5430553238340325,0.49488140872003306,0.55,225.94063438839098,120.72696723026668,136.36605648968973,2.842170943040401e-14,0.509961206674717,0.0617137339960756,0.07440004264935851
voyage_063,true,0,0,0,129.50171168849388,0.55,0.5519263051102613,0.4503670179603834,0.5555975181730549,316.9906443511743,325.12739290540173,1032.9400456794806,5.684341886080802e-14,0.7487441781988764,0.061489190557939374,0.07179996464401484
voyage_064,true,0,0,0,14.768786962383324,0.55,0.5508359498055855,0.49781148087647115,0.5508367513608092,338.75087785028063,278.06642151682604,274.3379426661187,5.684341886080802e-14,0.775956772781953,0.06209219842907876,0.08510500774718814
voyage_065,true,0,0,0,26.664693662270167,0.55,0.5388513085154335,0.46689988600319166,0.55,305.7572807719421,346.50000000730165,570.1075737520804,5.684341886080802e-14,2.751501059294469,0.06028403147787993,0.06820505077484988
voyage_066,true,0,0,0,29.62649151416526,0.55,0.5456803201705667,0.4767097455608253,0.5568943861907307,273.0205702441526,339.85586644743796,521.0341819583299,5.684341886080802e-14,0.7918747132634962,0.05961378030517976,0.07240502454806112
