config_id,varied_weight,weight_value,q_h2,q_batt,q_soc,q_fc_var,voyage_count,completed_voyage_count,completion_rate,initial_soc,final_soc_mean,delta_soc_mean,min_soc,max_soc,max_power_balance_residual_kw,max_fc_ramp_kw_per_step,max_fc_kw,min_fc_kw,max_batt_discharge_kw,max_batt_charge_kw,mean_solve_time_ms,p95_solve_time_ms,max_solve_time_ms,metrics_comparable,solver_failure_count,primal_infeasible_count,max_iter_count,total_h2_kg,sum_p_batt_sq_kw2,sum_soc_error_sq,sum_fc_delta_sq_kw2,J_h2_norm,J_batt_norm,J_soc_norm,J_fc_var_norm,weighted_h2_contribution,weighted_batt_contribution,weighted_soc_contribution,weighted_fc_var_contribution,total_weighted_objective
baseline_1_1_1_1,baseline,1.0,1.0,1.0,1.0,1.0,7,7,1.0,0.5499999999999999,0.2879352640283369,-0.2620647359716632,0.19999721541868046,0.55,2.842170943040401e-14,15.990419190363525,560.0264690534727,-1.441607964676828e-07,260.134823474476,35.04091526098418,0.17824693111108947,0.4720749988337062,14.804799982812256,True,0,0,0,218.4489313127197,437498713.3573054,4672.761395506355,130389.63268597797,24712.946846597915,3643.9323214191427,1869104.5582025417,56.59272251995571,24712.946846597915,3643.9323214191427,1869104.5582025417,56.59272251995571,1897518.0300930787
q_h2_0p25,q_h2,0.25,0.25,1.0,1.0,1.0,7,7,1.0,0.5499999999999999,0.4541315482575512,-0.09586845174244885,0.2988536605878733,0.55,7.105427357601002e-15,15.053128507495387,559.9999999999999,-6.467163957984688e-23,260.1348234744762,97.43744498092573,0.06185400843518739,0.11995499517070159,7.928600010927767,True,0,0,0,263.5670875138131,73576724.76221445,1202.7681262110302,124877.4533265792,29817.126525178923,612.8214718799161,481107.25048441184,54.20028356188334,7454.281631294731,612.8214718799161,481107.25048441184,54.20028356188334,489228.5538711484
q_h2_0p5,q_h2,0.5,0.5,1.0,1.0,1.0,7,7,1.0,0.5499999999999999,0.38573383891415747,-0.16426616108584255,0.19999472328669102,0.55,1.4210854715202004e-14,15.528983391403699,559.9999999999999,-1.2816075372480884e-22,260.1348234744762,76.74644963397847,0.12173563905862572,0.19270001212134957,12.711099989246577,True,0,0,0,244.99590069152987,159725065.4875007,3001.82772324384,131085.07979646992,27716.18352646808,1330.3520922479856,1200731.0892975358,56.8945658838845,13858.09176323404,1330.3520922479856,1200731.0892975358,56.8945658838845,1215976.4277189018
q_h2_2,q_h2,2.0,2.0,1.0,1.0,1.0,7,6,0.8571428571428571,0.5499999999999999,0.21228973191357295,-0.3377102680864271,0.1999968397602675,0.55,5.684341886080802e-14,31.79697776456976,507.49099482752183,-1.567709297889275e-06,272.6094151168557,3.837960356979835,0.2611312239984867,1.2796999944839627,21.196899993810803,False,1,0,1,100.58141422587339,1074304436.310429,3803.0596232780545,91510.95408950745,11378.692166551802,8947.895248593368,1521223.8493112216,39.71829604579315,22757.384333103604,8947.895248593368,1521223.8493112216,39.71829604579315,1552968.8471889643
q_h2_4,q_h2,4.0,4.0,1.0,1.0,1.0,7,1,0.14285714285714285,0.5499999999999999,0.20043433509805073,-0.3495656649019493,0.19999977891057683,0.55,5.684341886080802e-14,41.6574062543435,501.5111680485392,-6.467096843765145e-06,346.5088959121212,1.9756442675074766,0.14983591456820144,0.17549999756738544,32.30660001281649,False,6,0,12,26.925971697632214,1889857763.692827,1530.9962940202308,50949.505753976206,3046.1128985978203,15740.649235649229,612398.5176080924,22.113500761274395,12184.451594391281,15740.649235649229,612398.5176080924,22.113500761274395,640345.7319388941
q_batt_0p25,q_batt,0.25,1.0,0.25,1.0,1.0,7,5,0.7142857142857143,0.5499999999999999,0.2000358500921262,-0.3499641499078739,0.19999413979747166,0.55,5.684341886080802e-14,39.16300293806165,560.0000057983963,-7.493626250461445e-06,346.51519504119864,59.35354554760029,0.28704112910522944,1.4089000032981858,33.90159999253228,False,2,1,4,79.56647071068102,1819524347.8424802,3932.3939682790615,109924.93327526178,9001.288995227764,15154.841324750123,1572957.5873116243,47.71047451183236,9001.288995227764,3788.7103311875308,1572957.5873116243,47.71047451183236,1585795.2971125515
q_batt_0p5,q_batt,0.5,1.0,0.5,1.0,1.0,7,6,0.8571428571428571,0.5499999999999999,0.21359906464430614,-0.33640093535569393,0.19999651645073224,0.55,5.684341886080802e-14,17.64115841229551,535.0651638740602,-2.762837344565873e-06,305.2621653249938,20.714910355137192,0.18555746086143457,0.3400999994482845,21.620299987262115,False,1,0,1,103.0412588585456,1018729638.1152136,3712.4788956774883,74570.54951622782,11656.972354478623,8485.012050958678,1484991.5582709948,32.3656898941961,11656.972354478623,4242.506025479339,1484991.5582709948,32.3656898941961,1500923.402340847
q_batt_2,q_batt,2.0,1.0,2.0,1.0,1.0,7,7,1.0,0.5499999999999999,0.38034285466108464,-0.16965714533891546,0.19999738416154195,0.55,1.4210854715202004e-14,18.104720753712172,560.0,-6.45902880057431e-07,260.1348234744761,16.282724180742548,0.12565810812283973,0.2060999977402389,15.230499993776903,True,0,0,0,243.46965822997078,167401895.35130456,3162.9867492314365,152681.42157833793,27543.52097966195,1394.2925053570505,1265194.699692574,66.26797811559807,27543.52097966195,2788.585010714101,1265194.699692574,66.26797811559807,1295593.0736610657
q_batt_4,q_batt,4.0,1.0,4.0,1.0,1.0,7,7,1.0,0.5499999999999999,0.4362017389135651,-0.11379826108643491,0.20584378996636818,0.55,3.552713678800501e-15,19.578390937711617,560.0000000000001,-3.583398834984465e-22,260.134823474476,4.771938991090394,0.06338214658204094,0.08739999611862004,0.6277000065892935,True,0,0,0,258.85353777354607,77562873.50092188,1797.014237859535,161968.13043894168,29283.886543229724,646.0221551813486,718805.6951438137,70.2986677252351,29283.886543229724,2584.0886207253943,718805.6951438137,70.2986677252351,750743.968975494
q_soc_0p25,q_soc,0.25,1.0,1.0,0.25,1.0,7,6,0.8571428571428571,0.5499999999999999,0.27460764997715076,-0.2753923500228493,0.19999969095534476,0.55,2.842170943040401e-14,16.175030508363193,560.0000000000002,-4.461071409703239e-22,260.13482347447587,24.14051021626136,0.06683042742382145,0.09710001177154481,21.266499999910593,False,1,0,2,146.79971262819188,485647403.27149934,2026.5075946746804,107751.91508580456,16607.330022058635,4044.963369181399,810603.0378698721,46.76732425599156,16607.330022058635,4044.963369181399,202650.75946746801,46.76732425599156,223349.82018296403
