candidate_id,completion_rate,solver_failure_count,worst_voyage_soc_net_change,global_soc_range,hydrogen_total_kg,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,fc_power_change_rms_kw,fc_above_load_fraction,solve_time_ms_mean,solve_time_ms_p99
A,0.0,7,-0.3495685232795669,0.20043147672..0.55,14.085060838777354,3.199182047928855e-22,1694.5467371993402,1694.5467371993402,0.9399318408354427,0.0,0.07487316640586776,0.21222998620942263
B,0.0,7,-0.34944126755637095,0.200558732444..0.55,14.07499183043264,3.485290441145408e-23,1694.3805824960634,1694.3805824960634,0.9048541741894341,0.0,0.08145308883074745,0.27489999774843454
C,0.0,7,-0.349534768572046,0.200465231428..0.55,14.0784327909605,3.624243131405936e-24,1694.5264845780366,1694.5264845780366,0.8994537771257712,0.0,0.0782244430553741,0.2135899965651342
