candidate_id,voyage_count,input_sample_count,is_partial_debug_run,reference_load_energy_mwh,total_steps,attempted_steps,applied_steps,closed_loop_coverage_fraction,closed_loop_complete,aggregate_metrics_comparable,initial_soc,final_soc,soc_net_change,soc_min,soc_max,hydrogen_total_kg,load_energy_mwh,hydrogen_intensity_kg_per_mwh,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,fc_at_max_fraction,battery_near_limit_fraction,fc_above_load_fraction,fc_surplus_energy_kwh,max_actual_power_balance_residual_kw,max_plan_power_balance_residual_kw,max_fc_bound_residual_kw,max_battery_bound_residual_kw,max_ramp_residual_kw,max_soc_bound_residual,max_soc_prediction_residual,physical_infeasible_point_count,worst_voyage_soc_net_change,solver_attempt_count,solver_success_count,solver_failure_count,solver_success_rate,unattempted_after_failure_count,solved_inaccurate_count,solved_inaccurate_fraction,max_iter_count,max_iter_fraction,final_max_iter_count,primal_infeasible_count,dual_infeasible_count,cold_restart_count,cold_restart_success_count,final_status_counts,solve_time_ms_mean,solve_time_ms_p95,solve_time_ms_p99,solve_time_ms_max,iterations_mean,iterations_max,primal_residual_max_abs,dual_residual_max_abs
A,7,93037,False,5.382994499909851,93030,67315,67314,0.7235730409545308,False,False,0.5499999999999999,0.30284716105175374,-0.24715283894824625,0.2001265874547636,0.55,130.60023145286536,3.6988112507678377,35.30870395880677,303.0758692392357,1502.0142909771419,1805.0901602163776,0.003431678402709689,0.03844668271087738,0.2800011884600529,303.0758692392357,5.684341886080802e-14,0.0008001973121736228,0.000852219504167806,1.7053025658242404e-13,0.0,0.0,2.6415605120233554e-06,0,-0.3498734125452364,67315,67314,1,0.999985144470029,25715,0,0.0,0,0.0,0,1,0,0,0,"{""primal infeasible"": 1, ""solved"": 67314}",0.06571449444581244,0.09059999138116837,0.1542000100016594,13.142799987690523,31.41796033573498,2050,0.000275902168423312,0.0001893833972823529
B,7,93037,False,5.382994499909851,93030,66472,66471,0.7145114479200257,False,False,0.5499999999999999,0.24673382683589448,-0.3032661731641056,0.2001461866122293,0.55,109.33295675964406,3.573718362842564,30.593613054801487,218.604838665297,1689.7490446843158,1908.3538833496127,0.000571677874561839,0.05958989634577485,0.2648974740864437,218.604838665297,5.684341886080802e-14,0.000501152238598479,0.0032937923288045567,1.7053025658242404e-13,0.0,0.0,2.95289421109457e-07,0,-0.34980839023714505,66472,66471,1,0.9999849560717294,26558,0,0.0,0,0.0,0,1,0,0,0,"{""primal infeasible"": 1, ""solved"": 66471}",0.06707468559872362,0.09650000720284879,0.16429999959655106,12.631499994313344,31.88861475508485,2325,0.0003476951169075746,0.00021859945678877178
C,7,93037,False,5.382994499909851,93030,60342,60340,0.6486079759217457,False,False,0.5499999999999999,0.20008047953129274,-0.3499195204687074,0.19999968520287667,0.55,89.85618395269813,3.3986517137747185,26.4387738197802,3.6951260951367613,1701.1547198887338,1704.8498459838706,0.0012263838249917136,0.13239973483592973,0.04146503148823334,3.6951260951367613,5.684341886080802e-14,0.0016891884615404251,0.001068520197984314,1.7053025658242404e-13,0.002104990938406104,3.1479712334081533e-07,8.476594036771479e-06,0,-0.3500000191961484,60342,60340,2,0.9999668555898048,32688,0,0.0,1,1.657220509761029e-05,1,1,0,1,0,"{""maximum iterations reached"": 1, ""primal infeasible"": 1, ""solved"": 60340}",0.07483570813038153,0.11539997649379075,0.26405899057863247,13.798899977700785,47.7441085810878,10000,0.00023267044789006264,0.0001966213072677572
D,7,93037,False,5.382994499909851,93030,68397,68396,0.7352036977319144,False,False,0.5499999999999999,0.3072211969545539,-0.24277880304544613,0.2003045864229926,0.55,140.9585774628271,3.8605875356178174,36.51220861134268,221.77759187025737,1399.4975654436987,1621.275157313956,0.008465407333762208,0.021872624130066087,0.27065910287151296,221.77759187025737,5.684341886080802e-14,0.00041820727017238823,0.0035812046933187958,2.2737367544323206e-13,0.0,0.0,9.570686823057173e-07,0,-0.34969541357700745,68397,68396,1,0.999985379475708,24633,0,0.0,0,0.0,0,1,0,0,0,"{""primal infeasible"": 1, ""solved"": 68396}",0.06696022337341903,0.1010000123642385,0.16929998062551022,12.31210000696592,30.061259996783484,1500,0.0005422625785079742,4.017292504666065e-05
