candidate_id,scope,voyage_id,total_steps,solver_attempt_count,solver_success_count,solver_failure_count,solver_success_rate,closed_loop_coverage_fraction,unattempted_after_failure_count,closed_loop_complete,solved_inaccurate_count,solved_inaccurate_fraction,max_iter_count,max_iter_fraction,final_max_iter_count,primal_infeasible_count,dual_infeasible_count,cold_restart_count,cold_restart_success_count,final_status_counts,solve_time_ms_mean,solve_time_ms_p95,solve_time_ms_p99,solve_time_ms_max,iterations_mean,iterations_max,primal_residual_max_abs,dual_residual_max_abs
C,overall,all,93030,60342,60340,2,0.9999668555898048,0.6486079759217457,32688,False,0,0.0,1,1.657220509761029e-05,1,1,0,1,0,"{""maximum iterations reached"": 1, ""primal infeasible"": 1, ""solved"": 60340}",0.07483570813038153,0.11539997649379075,0.26405899057863247,13.798899977700785,47.7441085810878,10000,0.00023267044789006264,0.0001966213072677572
C,voyage,voyage_060,10650,10650,10650,0,1.0,1.0,0,True,0,0.0,0,0.0,0,0,0,0,0,"{""solved"": 10650}",0.07375365257330956,0.12065501650795334,0.2733199999784124,3.822700004093349,43.48356807511737,5750,5.653911827615411e-05,0.0001966213072677572
C,voyage,voyage_061,10740,10740,10740,0,1.0,1.0,0,True,0,0.0,0,0.0,0,0,0,0,0,"{""solved"": 10740}",0.06715722532302933,0.10990499285981052,0.19824399612844013,1.0210999753326178,31.932029795158286,1875,5.9998902678071305e-05,0.00019657255923442212
C,voyage,voyage_062,10650,10650,10650,0,1.0,1.0,0,True,0,0.0,0,0.0,0,0,0,0,0,"{""solved"": 10650}",0.06853747406773304,0.10496500035515033,0.1955020043533296,12.885899981483817,36.528169014084504,9700,5.930213306595052e-05,0.0001953388988605421
C,voyage,voyage_063,32370,5812,5811,1,0.9998279421885754,0.17951807228915662,26558,False,0,0.0,0,0.0,0,1,0,0,0,"{""primal infeasible"": 1, ""solved"": 5811}",0.07108029980158449,0.11139500420540552,0.28213599463924843,1.5663999947719276,43.55643496214728,2900,0.00023267044789006264,0.0001729693115411591
C,voyage,voyage_064,7140,7140,7140,0,1.0,1.0,0,True,0,0.0,0,0.0,0,0,0,0,0,"{""solved"": 7140}",0.10146665279163278,0.14170500217005602,1.4651490096002815,3.156300022965297,102.81162464985995,6200,5.654238411558319e-05,0.00019151733912886007
C,voyage,voyage_065,10740,4610,4609,1,0.9997830802603037,0.4291433891992551,6130,False,0,0.0,1,0.00021691973969631235,1,0,0,1,0,"{""maximum iterations reached"": 1, ""solved"": 4609}",0.07703167031172647,0.1287200197111816,0.2080999838653952,13.798899977700785,46.67570498915401,10000,5.7950206459547815e-05,3.260105058843082e-05
C,voyage,voyage_066,10740,10740,10740,0,1.0,1.0,0,True,0,0.0,0,0.0,0,0,0,0,0,"{""solved"": 10740}",0.07321793275520647,0.1097100204788147,0.2633979974780242,2.899899991462007,45.018621973929235,5600,5.666647245265983e-05,0.00019651943356204557
