voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,weights,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,failure_decision_index,failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads_kw,solver_status,partial_minimum_soc,partial_last_soc,partial_mean_soc,partial_total_fixed_reward,partial_mean_fixed_reward_per_step,partial_hydrogen_kg,partial_battery_net_energy_kwh,partial_maximum_fc_step_change_kw
voyage_011,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",28771,28770,False,5651,,,,,,,,5651,5652,0.20085667856330805,560.0,"[937.2539949706749,936.8179307112808,936.3705945039583,935.915237046907,935.4551090383278,934.9934611764209]",primal infeasible,0.20085667856330805,0.20085667856330805,0.48685774978051166,-414053.63761643844,-73.27086137257803,11.803114110808158,217.86543257649583,1.0257837454018954
voyage_011,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",28771,28770,False,6043,,,,,,,,6043,6044,0.20101956946078217,560.0,"[947.4333144973856,947.1945947059592,946.9409922249058,946.6746731701544,946.3978036576356,946.1125498032791]",primal infeasible,0.20101956946078217,0.20101956946078217,0.4863443624398628,-418242.4286329856,-69.21105885040305,17.707016116874204,217.76378865647368,2.3934667738238034
voyage_011,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",28771,28770,False,5969,,,,,,,,5969,5970,0.20089305688266618,560.0000000000001,"[940.8202,940.4145357345267,940.0093290446259,939.6060511082749,939.2061731034512,938.8111662081336]",primal infeasible,0.20089305688266618,0.20089305688266618,0.4858887697206542,-420165.10239771224,-70.39120495857132,16.58468011365469,217.84273250521784,1.9595355099029348
voyage_011,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",28771,28770,False,6015,,,,,,,,6015,6016,0.2009845733880957,560.0000000000002,"[941.9872179411976,942.5311714847379,943.0690852030816,943.5980672396332,944.1152257377967,944.6176688409763]",primal infeasible,0.2009845733880957,0.2009845733880957,0.4862079920500026,-419143.4800662901,-69.68303908001498,17.26966929695532,217.78562620582872,2.206663008259511
voyage_011,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",28771,28770,False,6107,,,,,,,,6107,6108,0.20087333525719556,559.9999999999998,"[947.646488768533,945.1250284580047,942.1809807426669,938.7894233664971,934.9254340734742,930.5640906075766]",primal infeasible,0.20087333525719556,0.20087333525719556,0.4870749709760084,-416245.8136455985,-68.15880360989004,18.653364230777797,217.85503879951006,2.5859664232689283
voyage_011,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",28771,28770,False,5903,,,,,,,,5903,5904,0.20095200194448481,560.0000000000002,"[941.8998578114355,942.018828495427,942.1483412192424,942.2891553572449,942.4420302837968,942.6077253732609]",primal infeasible,0.20095200194448481,0.20095200194448481,0.4856102703488781,-421279.9974192685,-71.36710103663704,15.59564255631184,217.80595078664228,1.6283491069004867
voyage_011,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",28771,28770,True,28770,0.20400993459609035,0.5534101177117808,-2666177.172571344,-92.67212973831575,109.45658636141695,-2.1279134521493828,2.6365408861331616,,,,,,,0.20400993459609035,0.5534101177117808,0.4834677513100812,-2666177.172571344,-92.67212973831575,109.45658636141695,-2.1279134521493828,2.6365408861331616
voyage_016,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",28771,28770,False,6390,,,,,,,,6390,6391,0.20056466288284863,560.0,"[806.9632741034629,807.1351561625587,807.2599009078804,807.3417823335506,807.3850744336941,807.3940512024344]",primal infeasible,0.20056466288284863,0.20056466288284863,0.42647801748058184,-798977.6337704408,-125.03562343825365,32.97123007317814,218.04765036110243,0.5719536758236927
voyage_016,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",28771,28770,False,7092,,,,,,,,7092,7093,0.2006280820613162,560.0,"[809.3459060180854,808.7847851193064,808.1990948188029,807.5907020632081,806.961473799156,806.3132769732797]",primal infeasible,0.2006280820613162,0.2006280820613162,0.45032737647933235,-680870.4672340722,-96.00542403187707,41.89110545987953,218.0080767937371,1.256784570144987
voyage_016,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",28771,28770,False,7335,,,,,,,,7335,7336,0.20057506690468574,560.0000000000001,"[798.9290084869956,798.7076211567105,798.4971955408719,798.2974281995068,798.1080156926425,797.9286545803058]",primal infeasible,0.20057506690468574,0.20057506690468574,0.4584105620471496,-656081.3585877728,-89.44531132757639,45.08423584310916,218.04115825147613,0.9176291879617224
voyage_016,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",28771,28770,False,7445,,,,,,,,7445,7446,0.20058584184947625,560.0000000000002,"[790.5531368174727,790.4248917707306,790.2970612590583,790.1712345929958,790.0490010830845,789.9319500398642]",primal infeasible,0.20058584184947625,0.20058584184947625,0.4627040491268159,-649103.4985081822,-87.18650080700903,46.46328047832732,218.03443468592585,1.0078241404083315
voyage_016,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",28771,28770,False,7385,,,,,,,,7385,7386,0.2006109790923716,559.9999999999998,"[794.2665714587066,794.1573447160071,794.0459897926983,793.9329376652496,793.8186193101294,793.7034657038074]",primal infeasible,0.2006109790923716,0.2006109790923716,0.4626971765124503,-648528.0178993716,-87.81692862550732,45.62909095950251,218.0187490463604,1.3198083234429419
voyage_016,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",28771,28770,False,7141,,,,,,,,7141,7142,0.200608963557489,560.0000000000002,"[796.3937196895331,797.6533835980633,798.9941654332378,800.4062312167374,801.8797469702438,803.4048787154383]",primal infeasible,0.200608963557489,0.200608963557489,0.4506726562263663,-680394.2282193048,-95.27996474153548,42.5862869556453,218.02000674012663,0.7691864485816495
voyage_016,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",28771,28770,False,7380,,,,,,,,7380,7381,0.20052345643085243,559.9999999999998,"[794.7656982866445,794.6735770940281,794.5771728384574,794.4769164964008,794.3732390443273,794.2665714587066]",primal infeasible,0.20052345643085243,0.20052345643085243,0.4635997848675879,-648374.9127689964,-87.85567923699139,45.52549076121328,218.0733631871483,1.325333708790879
voyage_021,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",14371,14370,False,7513,,,,,,,,7513,7514,0.20123571129362458,560.0,"[1088.5338608200273,1088.8063622822117,1089.0817477866417,1089.3591995292509,1089.6378997059733,1089.9170305127411]",primal infeasible,0.20123571129362458,0.20123571129362458,0.4948720584248786,-341757.7332228176,-45.48885042231034,24.38018638406866,217.62891615277763,0.6936663572886346
voyage_021,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",14371,14370,False,7429,,,,,,,,7429,7430,0.2014075457732007,560.0,"[1092.151733191656,1092.0795623785002,1092.004625767727,1091.9264981420692,1091.844754284259,1091.7589689770284]",primal infeasible,0.2014075457732007,0.2014075457732007,0.504513175065871,-298453.68028007925,-40.17413922197863,22.771045344139623,217.52169143752172,3.303917112275542
voyage_021,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",14371,14370,False,7479,,,,,,,,7479,7480,0.20136672999733365,560.0000000000001,"[1085.048834811176,1084.9733225185469,1084.9065115597627,1084.8486541421644,1084.8000024730927,1084.7608087598885]",primal infeasible,0.20136672999733365,0.20136672999733365,0.5123852672888153,-289483.4427314719,-38.70616963918597,23.612516771512478,217.5471604816629,2.1287937842072324
voyage_021,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",14371,14370,False,7494,,,,,,,,7494,7495,0.20135182979178262,560.0000000000002,"[1084.9445448154738,1085.0260343012897,1085.12000823106,1085.2267188121257,1085.3464182518271,1085.4793587575057]",primal infeasible,0.20135182979178262,0.20135182979178262,0.5134437135722721,-288854.1057300822,-38.54471653724075,23.86044551386984,217.55645820992785,2.5185518351266865
voyage_021,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",14371,14370,False,7468,,,,,,,,7468,7469,0.20128182490907612,559.9999999999998,"[1086.3812760024969,1086.2270002886728,1086.0783912566694,1085.9359162897615,1085.7998727906336,1085.6705129666257]",primal infeasible,0.20128182490907612,0.20128182490907612,0.5131483519434288,-287425.94172486884,-38.48767296797922,23.454295997217525,217.6001412567349,3.7900862308567866
voyage_021,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",14371,14370,False,7478,,,,,,,,7478,7479,0.20125291673761106,560.0000000000002,"[1085.13279623031,1085.048834811176,1084.9733225185469,1084.9065115597627,1084.8486541421644,1084.8000024730927]",primal infeasible,0.20125291673761106,0.20125291673761106,0.5105242184160754,-293574.1365043518,-39.25837610381811,23.6311365472669,217.6181799557298,1.7374580371011916
voyage_021,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",14371,14370,False,7460,,,,,,,,7460,7461,0.20129939661121662,559.9999999999998,"[1087.7640644659905,1087.5810503932032,1087.4000236038223,1087.2214426725525,1087.0457661740966,1086.8734526831593]",primal infeasible,0.20129939661121662,0.20129939661121662,0.5145858721313427,-286451.3991194214,-38.398310873917076,23.334603289604697,217.58917651460052,4.52488509001364
voyage_024,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",35972,35971,False,8462,,,,,,,,8462,8463,0.20016293003599678,560.0000005217523,"[633.6517133363691,633.4026123540647,633.1935965197439,633.0242028416072,632.8939683278553,632.8024299866887]",primal infeasible,0.20016293003599678,0.20016293003599678,0.43780038403491306,-1076441.5978173173,-127.20888653005404,36.02305695139096,218.29833165753774,0.6093020867091923
voyage_024,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",35972,35971,False,10188,,,,,,,,10188,10189,0.20023909808224674,560.0,"[654.7532059913888,653.8280976099225,652.892159822633,651.9488843717297,651.0017629994226,650.0542874479203]",primal infeasible,0.20023909808224674,0.20023909808224674,0.43569465616167935,-1337371.4027419854,-131.26927785060712,53.926948616887955,218.25080279667887,1.3187902210171387
voyage_024,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",35972,35971,False,10717,,,,,,,,10717,10718,0.2003827712304525,560.0000000000001,"[721.8108646042601,720.8485577198,719.8857876811669,718.9332208656156,718.0015236504012,717.1013624127788]",primal infeasible,0.2003827712304525,0.2003827712304525,0.43874094725779494,-1352181.3393211071,-126.17162819082833,59.68818244141745,218.16115075219798,1.025411500080395
voyage_024,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",35972,35971,True,35971,0.20410911862075165,0.5500149327669929,-1865401.0571329286,-51.858470910815065,141.7836580064929,-0.009318046602460335,1.6356495389613883,,,,,,,0.20410911862075165,0.5500149327669929,0.503604365134576,-1865401.0571329286,-51.858470910815065,141.7836580064929,-0.009318046602460335,1.6356495389613883
voyage_024,train,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",35972,35971,False,10874,,,,,,,,10874,10875,0.20006092161625003,559.9999999999998,"[591.5192057967272,589.2688229410361,587.0494722633931,584.8710215249021,582.7433384866664,580.6762909097897]",primal infeasible,0.20006092161625003,0.20006092161625003,0.4409946442028925,-1362584.2486076276,-125.30662576858815,61.256465036533015,218.36198491145868,1.4173241626415347
voyage_024,train,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",35972,35971,False,10273,,,,,,,,10273,10274,0.20029409162783413,560.0000000000002,"[677.3570301702207,676.9680793456212,676.51835100298,676.0103800366444,675.4467013409624,674.8298498102815]",primal infeasible,0.20029409162783413,0.20029409162783413,0.4345852472913934,-1354807.4061986092,-131.88040554838986,54.892365555747716,218.21648682423367,0.825999869400249
voyage_024,train,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",35972,35971,False,10839,,,,,,,,10839,10840,0.20016661668481858,559.9999999999998,"[628.0145604690633,628.8642690609931,629.5936901866006,630.2029432238332,630.6921475506385,631.0614225449638]",primal infeasible,0.20016661668481858,0.20016661668481858,0.44188762199163895,-1350627.4319009788,-124.60812177331661,60.904238108100834,218.29603118867243,1.6526721910670972
voyage_041,train,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",39211,39210,False,6899,,,,,,,,6899,6900,0.2006582251725735,560.0,"[849.2191927818819,848.693087941673,848.0358381007062,847.2575560688773,846.3683546560812,845.3783466722142]",primal infeasible,0.2006582251725735,0.2006582251725735,0.4528642402681862,-689318.5973078143,-99.91572652671609,22.77558005113096,217.98926749231495,0.8052401340816004
voyage_041,train,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",39211,39210,False,7790,,,,,,,,7790,7791,0.20042305802845276,560.0,"[739.3067428486688,738.7858505678194,738.3645514202359,738.050748613386,737.852345354738,737.7772448517596]",primal infeasible,0.20042305802845276,0.20042305802845276,0.4498761191383853,-812959.7909552839,-104.35940833829062,32.95932337944632,218.13601179024477,2.007359396239565
voyage_041,train,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",39211,39210,False,7791,,,,,,,,7791,7792,0.20039072670300317,560.0000045619066,"[738.7858505678194,738.3645514202359,738.050748613386,737.852345354738,737.7772448517596,737.8333503119195]",primal infeasible,0.20039072670300317,0.20039072670300317,0.45586629863945644,-805245.199689953,-103.35582077909807,32.86338144836506,218.15618653732446,1.6132114231037349
voyage_041,train,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",39211,39210,False,7869,,,,,,,,7869,7870,0.20052548830608866,560.0000000000002,"[765.2719464921238,764.8545154079462,764.4610322492966,764.0902211801844,763.7408063646179,763.4115119666061]",primal infeasible,0.20052548830608866,0.20052548830608866,0.4573882425446034,-801073.5686527817,-101.80119057730101,33.805500444212306,218.0720952969978,1.8546757157249658
