candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,start,completed,failure_step,steps,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh,battery_throughput_kwh,fc_tv_kw,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
B0,baseline_nominal,0.25,0.4,12,20,low_stable,train_parent_037_02,0,True,,600,-0.0012720644158428955,0.5412829239503931,0.5412829239503931,0.013226714126620602,5.439455454955247,5.439455454955247,6.26456,37.587360000000004,0.2722709810016344,0.0,6.141401825107432,0.16489418711256754
B1,balanced,0.25,0.45,30,20,low_stable,train_parent_037_02,0,True,,600,-0.0012724890676474203,0.5412833912616991,0.5412833912616991,0.013311672249854073,5.439163852700181,5.439163852700181,6.26456,37.587360000000004,0.27402059453202465,0.0,6.141429382322501,0.16486662989749856
B2,balanced,0.25,0.5,50,20,low_stable,train_parent_037_02,0,True,,600,-0.0012729336036750962,0.5412838774601084,0.5412838774601084,0.013400063385385875,5.438860464892463,5.438860464892463,6.26456,37.587360000000004,0.27584092137833865,0.0,6.141456925716074,0.16483908650392554
B3,balanced,0.3,0.45,30,16,low_stable,train_parent_037_02,0,True,,600,-0.0012464397322021173,0.5412574241332565,0.5412574241332565,0.008588805294045007,5.455367340848208,5.455367340848208,6.264560000000001,37.58736000000001,0.17679966564386884,0.0,6.079973309016947,0.2263227032030528
B4,balanced,0.2,0.5,40,16,low_stable,train_parent_037_02,0,True,,600,-0.001274149067632933,0.541285209384999,0.541285209384999,0.013642201967530378,5.438029343761119,5.438029343761119,6.26456,37.587360000000004,0.28082764816640016,0.0,6.141525723799677,0.16477028842032304
B5,balanced,0.3,0.55,50,24,low_stable,train_parent_037_02,0,True,,600,-0.001272561717980694,0.5412834706834031,0.5412834706834031,0.013326111241750293,5.439114293557145,5.439114293557145,6.26456,37.587360000000004,0.27431794939024434,0.0,6.141433973847622,0.16486203837237756
E0,baseline_economy,0.4,0.25,8,8,low_stable,train_parent_037_02,0,True,,600,-0.0012327892511082013,0.5412270129786385,0.5412270129786385,0.003057476492264279,5.474343901329794,5.474343901329794,6.26456,37.587360000000004,0.0629403027543526,0.0,5.7726834941559115,0.5336125180640883
E1,economy,0.5,0.25,12,12,low_stable,train_parent_037_02,0,True,,600,-0.0012310661679779276,0.5412304820920342,0.5412304820920342,0.0036884696067750805,5.4721791745711705,5.4721791745711705,6.26456,37.587360000000004,0.07592866330609314,0.0,5.854232656900431,0.4520633553195692
E2,economy,0.4,0.35,20,12,low_stable,train_parent_037_02,0,True,,600,-0.0012313264972486537,0.5412359090699759,0.5412359090699759,0.00467556082028798,5.468792740335497,5.468792740335497,6.26456,37.587360000000004,0.09624726872014011,0.0,5.936504052433162,0.36979195978683777
E3,economy,0.35,0.3,30,16,low_stable,train_parent_037_02,0,True,,600,-0.001239960771656709,0.5412499921364342,0.5412499921364342,0.007237070304083648,5.460004906865428,5.460004906865428,6.2645599999999995,37.58736,0.1489742695405495,0.0,6.049037659601434,0.25725835261856567
E4,economy,0.5,0.35,30,20,low_stable,train_parent_037_02,0,True,,600,-0.0012359769950590787,0.5412447743943345,0.5412447743943345,0.006288042672694929,5.463260777935736,5.463260777935736,6.26456,37.587360000000004,0.12943904311869986,0.0,6.01823207849782,0.28806393372217975
E5,economy,0.35,0.4,40,20,low_stable,train_parent_037_02,0,True,,600,-0.0012495123672981731,0.5412606064106084,0.5412606064106084,0.009167629563769463,5.453381599780724,5.453381599780724,6.26456,37.587360000000004,0.18871411204876531,0.0,6.092150750185668,0.21414526203433137
