regime,segment_id,points,hours,mean_load_kw,std_load_kw,p95_load_kw,max_load_kw,load_ge_590_fraction
low_load,train_parent_037_02,3272,0.9086111111111111,84.25537864061752,53.86468181175122,206.05067724049997,309.7006,0.0
ordinary,train_parent_061_01,7081,1.9666666666666666,260.601797199638,76.24493645015144,325.761597719,367.802,0.0
fluctuating,train_parent_063_01,11432,3.1752777777777776,515.8568191787207,149.19674112826382,795.0997489710999,905.5203,0.23959062281315605
sustained_high,train_parent_013_02,6391,1.775,625.6610750812758,146.0651437917983,693.3064740980001,709.4504,0.8892192145204193
soc_pressure,train_parent_021_01,9512,2.6419444444444444,445.51351591463015,351.87684156130655,1098.8738329405,1103.8994,0.21982758620689655
