regime,segment_id,start,mean,mad,min,max,change,score
low_stable,train_parent_037_02,0,32.86682501906645,0.18127010859398998,6.26456,44.87234,25.216799047800002,
ordinary_stable,train_parent_061_01,1710,315.5798302499967,0.20444187087145235,296.9926,328.7191,17.274280652000016,0.20444187087145235
fluctuating,train_parent_063_01,5010,577.4220006869667,4.9821676411886475,282.15537,905.5203,326.016576452,
high_mean,train_parent_021_01,2790,1100.8600106667332,0.06602496565943407,1095.1941,1103.8994,2.7804455699999835,
sustained_high,train_parent_021_01,2820,1100.8368179662666,0.054789883539233614,1097.9713,1103.8994,-3.9558597600000667,
rapid_rise,train_parent_021_01,2310,497.8141193917066,1.6275576239899838,170.78927,1103.27044677,932.48117677,
rapid_fall,train_parent_021_01,4200,1069.07434829605,1.618057186717864,153.493345156,1094.7999,-939.9760548439999,
