epoch,train_loss,val_loss,val_MAE,val_RMSE,val_MAPE,val_sMAPE,val_bias,val_h1_MAE,val_h1_bias,val_h3_MAE,val_h3_bias,val_h6_MAE,val_h6_bias,val_top10_load_bias,val_peak_underestimation_ratio,val_ramp_RMSE
1,0.13995566844749144,0.04763074455684031,5.128890037536621,6.987792015075684,22.01076889038086,22.37677001953125,3.4305970668792725,3.9354069232940674,2.766078233718872,5.211459159851074,3.676328420639038,6.099323272705078,4.079334259033203,0.32730022072792053,0.47562636165577343,4.064558506011963
2,0.04264762600024159,0.042831585655374094,4.446765422821045,6.246062278747559,20.921443939208984,20.6734561920166,2.479994297027588,3.0061752796173096,1.609019160270691,4.513801097869873,2.7674736976623535,5.478716850280762,3.079296827316284,0.26610931754112244,0.47372004357298475,4.014283657073975
3,0.03867401079967236,0.043271612670669986,4.410338401794434,6.449056148529053,18.19054412841797,19.66948127746582,2.5319252014160156,3.0335347652435303,1.870021939277649,4.3901824951171875,2.6470983028411865,5.420192718505859,3.030614137649536,1.633082389831543,0.36764705882352944,3.9890501499176025
4,0.03687239812615399,0.043188907911864485,4.355983734130859,6.425704479217529,21.101436614990234,20.72596549987793,2.4788546562194824,2.757575035095215,1.434168815612793,4.257248878479004,2.5082974433898926,5.572685718536377,3.2628133296966553,1.5911303758621216,0.37336601307189543,4.061560153961182
5,0.035853781791117326,0.04247297643953861,4.326064109802246,6.407182216644287,19.500356674194336,21.065031051635742,2.484445571899414,2.7124006748199463,1.5245307683944702,4.146139144897461,2.392443895339966,5.553977012634277,3.200810194015503,1.6037039756774902,0.3681917211328976,4.0674638748168945
6,0.034717062583718546,0.04162277725841533,4.200444221496582,6.153030872344971,18.215700149536133,19.88819122314453,2.259275197982788,2.8455405235290527,1.7428867816925049,4.098713397979736,2.306069850921631,5.241904258728027,2.6586813926696777,0.870292603969574,0.4038671023965142,4.003382682800293
7,0.03390847547099185,0.04279542761254923,4.203936576843262,6.274348735809326,15.345993995666504,17.67903709411621,2.2521300315856934,2.6881234645843506,1.4663411378860474,4.134572505950928,2.385131359100342,5.346851348876953,2.78206467628479,1.6579738855361938,0.3639705882352941,4.057973861694336
8,0.03310994148994677,0.04286199620770533,3.977168321609497,6.003371238708496,16.2032527923584,17.931936264038086,1.6874325275421143,2.4693610668182373,0.8758983016014099,3.8563764095306396,1.7680145502090454,5.147199630737305,2.271726608276367,-0.30047208070755005,0.5021786492374728,4.067279815673828
9,0.032300113777940474,0.04230712165008299,4.187176704406738,6.242039680480957,18.597209930419922,19.046796798706055,2.1769418716430664,2.5968503952026367,1.3038747310638428,3.9507691860198975,2.064099073410034,5.516777038574219,2.9572155475616455,1.4495251178741455,0.3841230936819172,4.089612007141113
10,0.03188399447558018,0.04394844100330298,4.274265289306641,6.411375045776367,16.44850730895996,20.21261215209961,2.110374927520752,2.760650157928467,1.3421655893325806,4.030645847320557,2.0490665435791016,5.45628023147583,2.603576183319092,2.201796770095825,0.33387799564270154,4.072059154510498
11,0.031266669336801924,0.044467095810680125,4.1876726150512695,6.277899742126465,15.120196342468262,17.582233428955078,1.9200078248977661,2.7259862422943115,1.313751220703125,4.071982383728027,2.0482747554779053,5.287665367126465,2.171865463256836,1.888549566268921,0.3562091503267974,4.053811073303223
12,0.03054471075749741,0.04423381682440848,4.131473541259766,6.173828125,16.015953063964844,18.59661865234375,1.686113953590393,2.5991861820220947,0.9417035579681396,3.9736175537109375,1.709708571434021,5.293837547302246,2.0149197578430176,1.0859375,0.4079520697167756,4.083916187286377
13,0.030422552243973583,0.042327901771848565,4.141493797302246,6.105277061462402,18.30521011352539,19.34404182434082,2.06676983833313,2.531146764755249,1.2101281881332397,3.9700725078582764,2.0952394008636475,5.33903169631958,2.464829683303833,0.6979722380638123,0.43790849673202614,4.0699028968811035
