state_id,soc,soc_regime,load_regime,transition_regime,fc_power_regime,winner_action_id,winner_action_name,best_reward,second_action_id,second_reward,first_second_reward_gap
40,0.6,inside_soft_range,load_low,stable,medium_150_450,3,soc_protection,0.9972605655422646,0,0.9917690184273253,0.005491547114939266
41,0.61,above_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.9012070107891522,1,0.8539533188505859,0.04725369193856632
42,0.65,above_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.28167701756308244,1,0.2540442001184871,0.027632817444595337
43,0.45,below_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.28006412740561515,1,0.25122879637339307,0.028835331032222078
44,0.49,below_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.895119959694275,0,0.8426406241566201,0.052479335537654936
45,0.5,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.995364467813641,2,0.9875253566530411,0.007839111160599876
46,0.55,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.99541490852518,2,0.9875481462093979,0.007866762315782094
47,0.6,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.99541490852518,2,0.9875481462093979,0.007866762315782094
48,0.61,above_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.8995836384323957,0,0.8492424135352312,0.05034122489716453
49,0.65,above_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.2822551126215008,1,0.25324905485571203,0.029006057765788795
50,0.45,below_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.2819935170624548,1,0.25306617531735864,0.028927341745096147
51,0.49,below_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.8994045174773774,0,0.8487869734378308,0.05061754403954655
52,0.5,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9958132644449417,2,0.9880689904011737,0.007744274043767985
53,0.55,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9958132644449417,2,0.9880689904011737,0.007744274043767985
54,0.6,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9957873270271775,2,0.988057054748485,0.007730272278692496
55,0.61,above_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.8961718046626588,0,0.8440253913458845,0.052146413316774276
56,0.65,above_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.2804078206823204,1,0.25164596852190163,0.028761852160418766
57,0.45,below_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.2818737997202989,1,0.2516951020879125,0.030178697632386398
