state_id,segment_id,decision_index,soc,soc_regime,load_regime,transition_regime,current_load_kw,previous_fc_kw,fc_power_regime,action_id,action_name,q_h2_normalized,q_batt_normalized,q_soc_normalized,q_fcvar_normalized,h2_norm,battery_power_sq_norm,soc_deadband_sq_norm,fc_variation_sq_norm,weighted_h2,weighted_batt,weighted_soc,weighted_fc_var,raw_mpc_objective,weight_sum,normalized_objective,reward,legacy_probe_raw_objective,raw_objective_recompute_abs_diff,winner_action_id
1,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,0,balanced,0.003527336860670194,0.008818342151675485,0.7054673721340388,0.2821869488536155,6.000000000000342,0.08942855081851758,6.028468251413357,3.283961333514187e-24,1.2000000000000686,0.04471427540925879,241.13873005653429,5.2543381336226994e-23,242.38344433194362,56.7,4.274840288041333,0.18957919963323144,242.38344433194356,5.684341886080802e-14,2
1,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,1,hydrogen_economy,0.024024024024024027,0.015015015015015017,0.48048048048048053,0.48048048048048053,5.993805178978924,0.0907032354091512,6.028684811965702,5.647815772603227e-05,2.39752207159157,0.0226758088522878,48.229478495725616,0.00045182526180825817,50.65012820143128,16.65,3.0420497418277046,0.24739923154627663,50.65012820143128,0.0,2
1,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,2,fc_smoothing,0.0035335689045936395,0.007067137809187279,0.42402826855123676,0.5653710247349824,6.0000000000000195,0.08942855143542745,6.028523071954655,6.949352691920838e-24,1.5000000000000049,0.044714275717713726,180.85569215863967,2.779741076768335e-22,182.4004064343574,70.75,2.5780976174467476,0.2794781213134085,182.4004064343574,0.0,2
1,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,3,soc_protection,0.0011632415664986429,0.006203955021326096,0.9305932531989144,0.062039550213260956,6.0000000000737135,0.08942855145975206,6.028521611641066,4.9600008506560476e-20,0.900000000011057,0.07154284116780166,723.4225933969279,3.968000680524838e-19,724.3941362381067,128.95,5.617635798666978,0.15111136823235796,724.3941362380957,1.1027623258996755e-11,2
2,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,0,balanced,0.003527336860670194,0.008818342151675485,0.7054673721340388,0.2821869488536155,5.999994357304414,0.0894297073120388,0.24573671833219782,3.787470302155715e-09,1.1999988714608827,0.0447148536560194,9.829468733287912,6.059952483449144e-08,11.07418251900434,56.7,0.19531186100536754,0.8366017544232414,11.074182519004326,1.4210854715202004e-14,2
2,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,1,hydrogen_economy,0.024024024024024027,0.015015015015015017,0.48048048048048053,0.48048048048048053,5.9855028790195375,0.09242702001536277,0.2458189243554605,0.0002751415128076741,2.394201151607815,0.02310675500384069,1.966551394843684,0.002201132102461393,4.386060433557802,16.65,0.26342705306653463,0.7914980113595351,4.386060433557802,0.0,2
2,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,2,fc_smoothing,0.0035335689045936395,0.007067137809187279,0.42402826855123676,0.5653710247349824,5.999923555155924,0.08944421278579961,0.245739203729004,4.498473878759141e-08,1.499980888788981,0.04472210639289981,7.372176111870121,1.7993895515036564e-06,8.916880906441552,70.75,0.12603365238786646,0.8880729255998704,8.916880906441552,0.0,2
2,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,3,soc_protection,0.0011632415664986429,0.006203955021326096,0.9305932531989144,0.062039550213260956,6.000000000007461,0.08942854670255598,0.24560793316472843,3.150247152184011e-22,0.900000000001119,0.0715428373620448,29.472951979767412,2.520197721747209e-21,30.444494817130575,128.95,0.23609534561559192,0.8089990821072033,30.444494817129456,1.1191048088221578e-12,2
3,train_parent_013_02,4451,0.5,inside_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,0,balanced,0.003527336860670194,0.008818342151675485,0.7054673721340388,0.2821869488536155,5.99775697812581,0.089888719170269,4.205379026090108e-05,6.577370474099176e-06,1.1995513956251622,0.0449443595851345,0.0016821516104360433,0.00010523792758558681,1.2462831447483183,56.7,0.02198030237651355,0.9784924402893084,1.2462831447483185,2.220446049250313e-16,3
3,train_parent_013_02,4451,0.5,inside_soft_range,load_high,rapid_fall,676.181069037,600.0000000001289,near_saturation_ge590,1,hydrogen_economy,0.024024024024024027,0.015015015015015017,0.48048048048048053,0.48048048048048053,5.983427734949782,0.09286069314441232,4.329346126076797e-05,0.00035925021495505986,2.393371093979913,0.02321517328610308,0.00034634769008614377,0.002874001719640479,2.419806616675743,16.65,0.14533373073127587,0.8731079624813959,2.4198066166757437,8.881784197001252e-16,3
