load_regime,winner_action_id,winner_count,state_count,winner_share
load_high,2,168,294,0.5714285714285714
load_high,3,126,294,0.42857142857142855
load_low,2,156,273,0.5714285714285714
load_low,3,117,273,0.42857142857142855
load_medium,2,156,273,0.5714285714285714
load_medium,3,117,273,0.42857142857142855
