action_id,action_name,count,raw_mpc_objective_min,raw_mpc_objective_p1,raw_mpc_objective_p5,raw_mpc_objective_median,raw_mpc_objective_p95,raw_mpc_objective_p99,raw_mpc_objective_max,raw_mpc_objective_mean,raw_mpc_objective_std,weight_sum_min,weight_sum_p1,weight_sum_p5,weight_sum_median,weight_sum_p95,weight_sum_p99,weight_sum_max,weight_sum_mean,weight_sum_std,normalized_objective_min,normalized_objective_p1,normalized_objective_p5,normalized_objective_median,normalized_objective_p95,normalized_objective_p99,normalized_objective_max,normalized_objective_mean,normalized_objective_std,reward_min,reward_p1,reward_p5,reward_median,reward_p95,reward_p99,reward_max,reward_mean,reward_std,winner_count,winner_share
0,balanced,840,0.4674804344291402,0.4687496510324412,0.5873420518676042,10.097579024477817,242.43436254423645,243.47291817530865,247.3152756199674,72.2340845335619,106.75893964568527,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.70000000000001,7.105427357601002e-15,0.008244804840020109,0.0082671896125651,0.010358766346871327,0.1780878134828539,4.275738316476833,4.294054994273521,4.361821439505597,1.273969744859998,1.8828737150914512,0.1865037863126244,0.18889112519411444,0.18954692974079076,0.8488331612602344,0.9897474394394195,0.9918005964266697,0.9918226160943836,0.71714734787765,0.33813921220705245,0,0.0
1,hydrogen_economy,840,0.9306510822463518,0.933086278530574,1.0027113212501193,3.213919041344628,50.26074563863268,50.667372502886955,50.79834600113767,15.942814522904941,21.359369495428837,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.650000000000006,7.105427357601002e-15,0.05589495989467579,0.05604121792976421,0.060222902177184345,0.19302817065132902,3.0186634017196807,3.0430854356088264,3.0509517117800407,0.9575263977720685,1.2828450147404709,0.24685557151718973,0.24733585671963554,0.2488392308423972,0.8382031750665424,0.9431978861641824,0.9469327369000946,0.9470639012234215,0.6964370195812949,0.28472623151176685,0,0.0
2,fc_smoothing,840,0.5841408155640295,0.5857021471734423,0.7082324774445561,7.884784049707825,182.40564076472333,182.98583993700564,186.05357919525227,54.61240727715478,80.07335056185629,70.75,70.75,70.75,70.75,70.75,70.75,70.75,70.75,0.0,0.008256407287124092,0.008278475578423213,0.010010353038085599,0.11144571094993393,2.5781716009148172,2.5863722959294084,2.629732568130774,0.7719068166382301,1.1317788065280039,0.2755023906664772,0.27883329499902104,0.27947234276923844,0.8997290561018121,0.9900888609626876,0.9917894949042522,0.9918112027580968,0.7577530494315426,0.3038908771814068,480,0.5714285714285714
3,soc_protection,840,0.3518562506537057,0.3529125821609965,0.5175461998323325,28.80948637305726,724.6872455326395,728.4002507055305,738.8497340344493,214.66181819931654,320.1994668935855,128.95,128.95,128.95,128.95,128.95,128.95,128.95,128.95000000000005,5.684341886080802e-14,0.0027286254412850386,0.002736817232733591,0.004013541681522548,0.2234159470574429,5.6199088447664955,5.648702991124704,5.72973814683559,1.6646903311307992,2.483128863075498,0.14859419165814244,0.15040527484648183,0.15105948185986875,0.8173834928384032,0.9960025223575963,0.9972706524932259,0.9972787996950977,0.7017819672540261,0.35579028567940674,360,0.42857142857142855
