current_condition,interval_count,mean_delta_soc_pct,median_delta_soc_pct,soc_decrease_count,soc_increase_count,soc_unchanged_count,mean_delta_remaining_ah,physical_interpretation
mean current > +5 A,16773,0.0777797651,0.1,19,12015,4739,0.2175102844,charging
mean current < -5 A,66363,-0.0805795398,-0.1,40450,11,25902,-0.2253198318,discharging
