timestamp,time_s,speed_kn,speed_provenance
2024-04-30T08:50:40+08:00,1890.0,1.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:51:10+08:00,1920.0,2.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:51:40+08:00,1950.0,4.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:52:10+08:00,1980.0,7.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:52:40+08:00,2010.0,9.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:53:10+08:00,2040.0,9.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:53:40+08:00,2070.0,9.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:54:10+08:00,2100.0,10.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:54:40+08:00,2130.0,10.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:55:10+08:00,2160.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:55:40+08:00,2190.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:56:10+08:00,2220.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:56:40+08:00,2250.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:57:10+08:00,2280.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:57:40+08:00,2310.0,10.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:58:10+08:00,2340.0,10.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:58:40+08:00,2370.0,10.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:59:10+08:00,2400.0,10.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T08:59:40+08:00,2430.0,9.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:00:10+08:00,2460.0,8.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:00:40+08:00,2490.0,8.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:01:10+08:00,2520.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:01:40+08:00,2550.0,8.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:02:10+08:00,2580.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:02:40+08:00,2610.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:03:10+08:00,2640.0,8.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:03:40+08:00,2670.0,8.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:04:10+08:00,2700.0,8.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:04:40+08:00,2730.0,8.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:05:10+08:00,2760.0,8.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:05:40+08:00,2790.0,6.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:06:10+08:00,2820.0,6.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:06:40+08:00,2850.0,7.0,UNIQUE_NEAREST_RAW_WITHIN_10S
