dataset_version,voyage_id,load_min_original_30s,load_max_original_30s,load_min_spline_1s,load_max_spline_1s,negative_load_count,negative_load_ratio,original_30s_negative_load_count,original_30s_negative_load_ratio,reconstructed_1s_negative_load_count,reconstructed_1s_negative_load_ratio,above_original_local_max_count,above_original_local_max_ratio,below_original_local_min_count,below_original_local_min_ratio,global_overshoot_count,global_overshoot_ratio,comment
cubic_spline_1s_natural,voyage_030,-121.169433,603.947433,-121.69303937554577,608.7516510000058,2321,0.09231931904061096,75,0.08939213349225268,2246,0.09242037692370998,2892,0.11900255123035142,2998,0.1233643321537322,24,0.0009546159659520305,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_031,-108.65,664.7186,-109.92734930910092,688.1186703039766,6485,0.2003336319545272,212,0.1962962962962963,6273,0.20047297945096035,3927,0.12549934485954428,4161,0.13297753347607938,104,0.003212752154706373,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_032,-46.433733,646.6682,-75.07256357244395,662.7557441617236,1720,0.047816296461038056,16,0.013333333333333334,1704,0.049006355871272035,5725,0.164648701504127,6592,0.18958327341750308,93,0.0025854160295793833,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_033,-109.238,558.5223,-114.53510863216177,576.3915868131405,6434,0.17886630897111563,197,0.16416666666666666,6237,0.1793736159443214,5065,0.14566736648356388,5421,0.15590578355526158,51,0.0014178087904145006,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_034,-98.241167,672.092833,-100.31104763639718,696.7910821128764,612,0.02841093728239172,16,0.022253129346314324,596,0.028623571222745173,2611,0.12539621554125444,2891,0.13884353088079915,55,0.0025532705074044846,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_035,-80.8234,669.986,-91.01241566587612,683.4979366984147,6205,0.19168391461493312,203,0.18796296296296297,6002,0.1918123422070244,3259,0.10415135342430731,3639,0.11629542040842415,47,0.0014519168391461494,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_036,-64.339667,448.092667,-64.82018328599602,452.6137139157975,3974,0.10042708043769427,122,0.09242424242424242,3852,0.10070324958824606,5477,0.14318579906407675,5989,0.15657107003738463,40,0.0010108412726491623,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_037,-31.6157,503.5642,-31.889239249827003,504.2280831913769,687,0.06378237860922849,18,0.05,669,0.06425895687253866,1169,0.11228508308519834,1167,0.11209297858034771,7,0.0006498932318262,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_038,-138.301667,539.792267,-139.7442366429499,572.2793054652853,7243,0.16789133307062887,237,0.1646977067407922,7006,0.1680015346985756,5611,0.1345499016833725,6422,0.15399741019615365,140,0.0032451728054518902,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_039,1e-06,392.301348,-0.0979433073839524,396.7602840297732,118,0.008228157032285056,0,0.0,118,0.008512480161592844,1709,0.12328668301832348,1687,0.12169961044582311,197,0.01373683843525556,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_040,-1.0000000000000002e-06,549.523067,-0.0815288886163631,551.2549923509608,1178,0.02976927547951783,6,0.004545454545454545,1172,0.030639721837337586,5564,0.1454602494052443,5753,0.15040129669812555,332,0.008389982562988047,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_041,-1e-06,848.252533,-9.761930184173057,864.8603855368234,1931,0.04924638494300069,31,0.023700305810397553,1900,0.050127958209112734,4580,0.12083476241986123,4697,0.12392158932010659,562,0.01433271275917472,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_042,-106.960001,340.30176,-107.09733718147986,341.58009813559534,8937,0.10347223026247236,232,0.08055555555555556,8705,0.10426273490555868,19275,0.23086320681271036,20313,0.24329568456480338,32,0.0003704947262391312,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_043,1e-06,697.115133,-0.219982110034283,721.8329068818662,180,0.016758216180988734,0,0.0,180,0.017337699865151223,1425,0.13725679059911386,1514,0.14582931997688306,352,0.03277162275393353,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_044,-1e-06,752.612167,-0.1488302196217724,762.5495252481907,592,0.05496239903444434,3,0.008333333333333333,589,0.056574776678513114,1568,0.15060993180290078,1540,0.14792046873499184,150,0.013926283539132858,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_045,0.0,761.2522,-40.26425011006593,761.6133981472731,163,0.007556441518705669,0,0.0,163,0.007817370869502661,2604,0.1248860965900916,2392,0.11471871852668937,172,0.007973668351026841,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_046,-109.4688,653.711133,-109.4908494720077,656.5738450675636,59031,0.4823937043907462,1949,0.4776960784313726,57082,0.4825557312052481,14798,0.12509827459400968,15140,0.12798944974681084,43,0.0003513904438143024,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_047,-1.606156,683.936533,-1.6176250920384925,695.7093425530293,190,0.007557376397120241,2,0.0023837902264600714,188,0.007735988807505555,3182,0.1309357254546951,3204,0.13184100074067978,22,0.000875064635456028,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_048,0.0,821.2573,-0.1570367951188746,824.4753557528848,472,0.016405408223558446,0,0.0,472,0.016971701844593866,3708,0.13332853906727554,4540,0.16324475926791557,484,0.01682249487330993,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_049,0.0,605.591933,-0.8325794051258008,630.5131047991392,194,0.010813221113650299,0,0.0,194,0.011186714335140123,2099,0.12103563602813977,2381,0.137296736247261,219,0.012206677442728945,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_050,3e-06,768.7192,-0.3531347268583944,773.0562184629853,182,0.007230543085296572,0,0.0,182,0.007480169331305742,3383,0.13904072993300728,3877,0.15934404668940857,394,0.015652933931905765,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_051,-108.8373,748.2712,-108.8373,749.3529560017244,1801,0.08349172500115896,58,0.08055555555555556,1743,0.08359311304014196,2412,0.1156779051364443,2822,0.1353412306364203,10,0.0004635853692457466,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_052,0.0,560.722,-21.03094942084473,560.722,152,0.010576856168673023,0,0.0,152,0.010942336764811749,1633,0.11755813116406306,1498,0.10783960837952632,152,0.010576856168673023,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_053,3e-06,846.873733,-0.4242131580875187,846.873733,153,0.005317854784331445,0,0.0,153,0.005501420301319622,3244,0.11664449318614936,3590,0.12908561360612708,428,0.014876090507802996,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
