dataset_version,online_feasible,uses_future_endpoint,second_diff_zero_ratio,mean_abs_second_diff,median_abs_second_diff,p95_abs_second_diff,p99_abs_second_diff,current_hold_h1_MAE,last_slope_h1_MAE,moving_average_h1_MAE,moving_average_60_h1_MAE,moving_average_180_h1_MAE,current_hold_h6_MAE,last_slope_h6_MAE,moving_average_h6_MAE,moving_average_60_h6_MAE,moving_average_180_h6_MAE,current_hold_h30_MAE,last_slope_h30_MAE,moving_average_h30_MAE,moving_average_60_h30_MAE,moving_average_180_h30_MAE,current_hold_h60_MAE,last_slope_h60_MAE,moving_average_h60_MAE,moving_average_60_h60_MAE,moving_average_180_h60_MAE,comment
cubic_spline_1s_natural,False,True,0.0010212528084452231,0.038461721668802955,0.009431935702650662,0.1665740767591557,0.45912025989319066,0.5999272299252552,0.03846172166880296,13.341905412192528,13.341905412192528,23.08776103127581,3.5794859003797566,0.8025073851170635,14.980222031513824,14.980222031513824,24.065501215160875,15.658109523160554,15.24788026358749,21.292984190918716,21.292984190918716,28.334316547717748,23.352424911328512,39.79770284509927,26.465101503673274,26.465101503673274,32.65222988858065,"test split; baselines are causal, but labels are offline cubic-spline reconstructions using future nodes"
cubic_spline_1s_natural_clipped,False,True,0.022252561194543285,0.03841015074666108,0.009344236279162033,0.1651897972257018,0.45360264203222966,0.5976186587114224,0.03841015074666108,13.323307331073982,13.323307331073982,23.069190878667204,3.5658805482733893,0.8008676416578225,14.961670501149069,14.961670501149069,24.046427259658184,15.616636775024189,15.203008609251762,21.270652603509156,21.270652603509156,28.31447905917954,23.314018369323623,39.69131262481247,26.442521971517362,26.442521971517362,32.631971477147566,"test split; baselines are causal, but labels are offline cubic-spline reconstructions using future nodes"
cubic_spline_1s_not_a_knot,False,True,0.0010427528675703858,0.0384676313202797,0.0094488533131738,0.1665740767591557,0.45912025989319066,0.5999721951863862,0.038467631320279715,13.341984910894173,13.341984910894173,23.087771385944006,3.5796875805785278,0.8025923250923548,14.980203370780172,14.980203370780172,24.065511984030046,15.658542141605505,15.247813806803705,21.292994639286736,21.292994639286736,28.334327902697208,23.35242744737586,39.79803961840889,26.465111508318028,26.465111508318028,32.652241245972334,"test split; baselines are causal, but labels are offline cubic-spline reconstructions using future nodes"
cubic_spline_1s_not_a_knot_clipped,False,True,0.02238156154929426,0.03841606039880285,0.009360583572231462,0.1651897972257018,0.45360264203222966,0.5976636238899441,0.03841606039880285,13.32338682990271,13.32338682990271,23.06920123338823,3.566082228045003,0.8009525815589714,14.961651840540558,14.961651840540558,24.046438028576326,15.617069392650764,15.20294215085125,21.270663051758923,21.270663051758923,28.31449041409262,23.314020906081115,39.691649393478905,26.442531976309184,26.442531976309184,32.63198283445512,"test split; baselines are causal, but labels are offline cubic-spline reconstructions using future nodes"
