condition,points,point_share,windows_with_condition,window_share
low_load,21524,0.17979818230419675,3918,0.19637129109863674
normal_load,73714,0.6157611601176156,14086,0.7059943865276664
high_load_p80,24474,0.20444065757818766,5840,0.29270248596631915
high_load_p90,12222,0.10209502806736166,3057,0.1532177225340818
high_positive_ramp,8653,0.07228180967655708,6124,0.30693664795509223
