P_sys_kW,mH2_g_s_Dp0,eta_percent_Dp0
0,0,0
0.334448160535117,0.0043345583136691,2.8484907862378
0.668896321070234,0.0086782519515838,5.68764187882922
1.00334448160535,0.0130310472829887,8.51281522820683
1.33779264214047,0.0173929106771282,11.3193727848032
1.67224080267559,0.0217638085032471,14.1026764990508
2.0066889632107,0.0261437071305897,16.8580883213823
2.34113712374582,0.0305325729284008,19.5809702022302
2.67558528428094,0.0349303722659247,22.266684092027
3.01003344481605,0.0393370715124061,24.9105919412054
3.34448160535117,0.0437526370370896,27.5080557001979
3.67892976588629,0.0481770352092196,30.0544373194371
4.0133779264214,0.0526102323980408,32.5450987493554
4.34782608695652,0.0570521949727977,34.9754019403855
4.68227424749164,0.0615028893027348,37.34070884296
5.01672240802676,0.0659622817570967,39.6363814075113
5.35117056856187,0.0704303387051279,41.857781584472
5.68561872909699,0.0749070265160731,44.0002713242748
6.02006688963211,0.0793923115591767,46.0592125773521
6.35451505016722,0.0838861602036833,48.0299672941365
6.68896321070234,0.0883885388188374,49.9078974250606
7.02341137123746,0.0928994137738837,51.688364920557
7.35785953177258,0.0974187514380666,53.3667317310581
7.69230769230769,0.101946518180631,54.9383598069966
8.02675585284281,0.106482680370821,56.398611098805
8.36120401337793,0.111027204377881,57.7428475569159
8.69565217391304,0.115580056571056,58.9664311317618
9.03010033444816,0.120141203319591,60.0647237737753
9.36454849498328,0.124710610992729,61.0330874333889
9.69899665551839,0.129288245959716,61.8668840610353
10.0334448160535,0.133874074589796,62.5614756071469
10.3678929765886,0.138468063252214,63.1122240221563
10.7023411371237,0.143070178316214,63.5144912564961
11.0367892976589,0.147680386151041,63.7636392605988
11.371237458194,0.152298653125939,63.8550299848971
11.7056856187291,0.156925915849024,63.8531396404439
12.0401337792642,0.161563355571015,63.8458398318498
12.3745819397993,0.166210877610997,63.8337250155168
12.7090301003344,0.170868382160194,63.8170316415007
13.0434782608696,0.175535769409831,63.795996159857
13.3779264214047,0.18021293955113,63.7708550206416
13.7123745819398,0.184899792775317,63.7418446739101
14.0468227424749,0.189596229273615,63.7092015697183
14.38127090301,0.194302149237249,63.6731621581217
14.7157190635452,0.199017452857441,63.6339628891761
15.0501672240803,0.203742040325416,63.5918402129372
15.3846153846154,0.208475811832399,63.5470305794607
15.7190635451505,0.213218667569613,63.4997704388023
16.0535117056856,0.217970507728282,63.4502962410177
16.3879598662207,0.22273123249963,63.3988444361625
16.7224080267559,0.227500742074881,63.3456514742925
17.056856187291,0.232278936645259,63.2909538054634
17.3913043478261,0.237065716401989,63.2349878797308
17.7257525083612,0.241860981536293,63.1779901471504
18.0602006688963,0.246664632239397,63.120197057778
18.3946488294314,0.251476568702523,63.0618450616692
18.7290969899666,0.256296691116897,63.0031706088798
19.0635451505017,0.261124899673741,62.9444101494654
19.3979933110368,0.26596109456428,62.8858001334817
19.7324414715719,0.270805175979739,62.8275770109844
20.066889632107,0.27565704411134,62.7699772320292
20.4013377926421,0.280516599150309,62.7132372466718
20.7357859531773,0.285383741287868,62.657593504968
21.0702341137124,0.290258370715242,62.6032824569733
21.4046822742475,0.295140387623656,62.5505405527435
21.7391304347826,0.300029692204332,62.4996042423342
22.0735785953177,0.304926184648495,62.4507099758013
22.4080267558528,0.309829781547177,62.4040736773625
22.742474916388,0.314741737077705,62.3581823239641
23.0769230769231,0.319662789820076,62.3119948931461
23.4113712374582,0.324592806574327,62.2655277399667
23.7458193979933,0.329531654140493,62.218797219484
24.0802675585284,0.334479199318611,62.1718196867564
24.4147157190635,0.339435308908718,62.1246114968418
24.7491638795987,0.34439984971085,62.0771890047985
25.0836120401338,0.349372688525042,62.0295685656846
25.4180602006689,0.354353692151332,61.9817665345583
25.752508361204,0.359342727389756,61.9337992664778
26.0869565217391,0.36433966104035,61.8856831165012
26.4214046822742,0.369344359903151,61.8374344396867
26.7558528428094,0.374356690778194,61.7890695910925
27.0903010033445,0.379376520465517,61.7406049257768
27.4247491638796,0.384403715765155,61.6920567987976
27.7591973244147,0.389438143477145,61.6434415652132
28.0936454849498,0.394479670401523,61.5947755800817
28.4280936454849,0.399528163338326,61.5460751984613
28.7625418060201,0.40458348908759,61.4973567754102
29.0969899665552,0.409645514449351,61.4486366659865
29.4314381270903,0.414714106223645,61.3999312252485
29.7658862876254,0.41978913121051,61.3512568082541
30.1003344481605,0.424870456209981,61.3026297700617
30.4347826086957,0.429957948022094,61.2540664657295
30.7692307692308,0.435051473446887,61.2055832503154
31.1036789297659,0.440150899284395,61.1571964788778
31.438127090301,0.445256092334655,61.1089225064748
31.7725752508361,0.450366919397702,61.0607776881646
32.1070234113712,0.455483247273575,61.0127783790053
32.4414715719064,0.460604942762308,60.9649409340551
32.7759197324415,0.465731872663938,60.9172817083721
33.1103678929766,0.470863903778501,60.8698170570146
33.4448160535117,0.476000902906034,60.8225633350406
33.7792642140468,0.481142736846574,60.7755368975085
34.1137123745819,0.486289272400155,60.7287540994762
34.4481605351171,0.491440376366816,60.6822312960021
34.7826086956522,0.496595915546592,60.6359848421442
35.1170568561873,0.501755756739519,60.5900310929607
35.4515050167224,0.506919766745635,60.5443864035098
35.7859531772575,0.512087812364974,60.4990671288497
36.1204013377926,0.517261472844867,60.453905097468
36.4548494983278,0.522447017543787,60.4082258941257
36.7892976588629,0.527644582649571,60.3620149345412
37.123745819398,0.532853647505683,60.3153283660677
37.4581939799331,0.538073691455591,60.2682223360587
37.7926421404682,0.543304193842761,60.2207529918677
38.1270903010033,0.548544634010658,60.172976480848
38.4615384615385,0.553794491302748,60.1249489503531
38.7959866220736,0.559053245062499,60.0767265477364
39.1304347826087,0.564320374633375,60.0283654203514
39.4648829431438,0.569595359358844,59.9799217155514
39.7993311036789,0.57487767858237,59.93145158069
40.133779264214,0.580166811647422,59.8830111631204
40.4682274247492,0.585462237897463,59.8346566101962
40.8026755852843,0.590763436675962,59.7864440692707
41.1371237458194,0.596069887326383,59.7384296876974
41.4715719063545,0.601381069192193,59.6906696128297
41.8060200668896,0.606696461616858,59.6432199920211
42.1404682274247,0.612015543943844,59.5961369726249
42.4749163879599,0.617337795516618,59.5494767019945
42.809364548495,0.622662695678645,59.5032953274835
43.1438127090301,0.627989723773392,59.4576489964453
43.4782608695652,0.633318359144324,59.4125938562331
43.8127090301003,0.638648081134909,59.3681860542006
44.1471571906355,0.643978369088611,59.3244817377011
44.4816053511706,0.649308702348898,59.2815370540879
44.8160535117057,0.654638560259234,59.2394081507147
45.1505016722408,0.659967422163088,59.1981511749347
45.4849498327759,0.665294767403924,59.1578222741014
45.819397993311,0.670620075325208,59.1184775955683
46.1538461538462,0.675942825270408,59.0801732866887
46.4882943143813,0.681262496582988,59.042965494816
46.8227424749164,0.686578568606416,59.0069103673038
47.1571906354515,0.691890520684157,58.9720640515054
47.4916387959866,0.697197832159677,58.9384826947742
47.8260869565217,0.702499982376443,58.9062224444637
48.1605351170569,0.70779645067792,58.8753394479274
48.494983277592,0.713086716407575,58.8458898525185
48.8294314381271,0.718370258908874,58.8179298055906
49.1638795986622,0.723646555570367,58.7915093240043
49.4983277591973,0.728915199269476,58.7662893188362
49.8327759197324,0.73417653546012,58.7420147473561
50.1672240802676,0.739431110145335,58.7186374081323
50.5016722408027,0.744679469328152,58.6961090997333
50.8361204013378,0.749922159011607,58.6743816207274
51.1705685618729,0.755159725198731,58.653406769683
51.505016722408,0.760392713892558,58.6331363451686
51.8394648829431,0.765621671096122,58.6135221457526
52.1739130434783,0.770847142812456,58.5945159700032
52.5083612040134,0.776069675044593,58.5760696164889
52.8428093645485,0.781289813795568,58.5581348837781
