parent_voyage,start_time,end_time,abnormal_rows,duration_s,reason,soc_drop_pct,raw_points,min_load_kw,mean_load_kw,mean_fc_kw,mean_battery_kw,speed_min_kn,speed_max_kn,speed_unavailable_points,propulsion_positive_points
5月30日05_00_5月30日17_00,2024-05-30T05:00:28,2024-05-30T05:17:28,,1020.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,35,-0.009600999999999985,-0.007689371428571403,0.0,-0.007689371428571403,,,35.0,0.0
5月30日05_00_5月30日17_00,2024-05-30T10:05:59,2024-05-30T10:43:29,,2250.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,76,-139.1232,-105.63989328947369,123.71052631578948,-229.35041960526317,,,76.0,76.0
5月30日05_00_5月30日17_00,2024-05-30T10:45:59,2024-05-30T10:45:59,,0.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,1,-1.5046200000000027,-1.5046200000000027,124.0,-125.50462,,,1.0,1.0
5月30日05_00_5月30日17_00,2024-05-30T10:49:59,2024-05-30T10:49:59,,0.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,1,-67.7224,-67.7224,124.0,-191.7224,,,1.0,1.0
5月30日05_00_5月30日17_00,2024-05-30T10:50:59,2024-05-30T10:50:59,,0.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,1,-73.90660000000003,-73.90660000000003,124.0,-197.90660000000003,,,1.0,1.0
5月30日05_00_5月30日17_00,2024-05-30T10:51:59,2024-05-30T11:36:29,,2670.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,90,-96.82900000000001,-85.24235888888886,124.05555555555556,-209.29791444444442,,,90.0,90.0
5月30日05_00_5月30日17_00,2024-05-30T11:46:29,2024-05-30T11:46:59,,30.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,2,-70.86191000000002,-50.264555,75.0,-125.264555,,,2.0,2.0
5月30日05_00_5月30日17_00,2024-05-30T11:50:59,2024-05-30T11:52:59,,120.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,5,-40.78523999999999,-29.383103999999996,93.8,-123.183104,,,5.0,5.0
5月30日05_00_5月30日17_00,2024-05-30T11:58:59,2024-05-30T12:08:29,,570.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,20,-101.45398999999998,-86.45168115,50.4,-136.85168115000002,,,20.0,20.0
5月30日05_00_5月30日17_00,2024-05-30T12:09:59,2024-05-30T12:12:29,,150.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,6,-123.62051000000002,-91.68863033333332,71.83333333333333,-163.52196366666666,,,6.0,6.0
