parent_voyage,start_time,end_time,raw_points,duration_s,mean_fc_kw,mean_battery_kw,speed_min_kn,speed_max_kn,speed_unavailable_points,reason
5月10日08_00_5月10日10_00,2024-05-10T09:23:12,2024-05-10T09:59:42,74,2190.0,0.0,-103.4310648783784,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
5月14日12_00_5月14日19_00,2024-05-14T12:40:23,2024-05-14T13:09:53,60,1770.0,72.26666666666667,-71.15597514999999,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
5月15日08_00_5月15日17_00,2024-05-15T08:55:24,2024-05-15T09:00:55,12,331.0,37.666666666666664,-6.728015083333333,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
5月20日08_00_5月20日18_00,2024-05-20T14:09:34,2024-05-20T14:41:34,65,1920.0,0.0,-107.59203416923079,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
5月20日08_00_5月20日18_00,2024-05-20T17:38:34,2024-05-20T17:59:34,43,1260.0,0.0,-89.71330583720932,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
5月27日08_00_5月27日19_00,2024-05-27T15:38:21,2024-05-27T16:18:51,83,2430.0,84.144578313253,-130.1596453012048,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月5日08_00_6月5日19_00,2024-06-05T16:08:45,2024-06-05T17:50:45,205,6120.0,102.99024390243902,-65.38389406829269,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月6日10_00_6月6日21_00,2024-06-06T19:37:17,2024-06-06T19:52:47,32,930.0,118.96875,-78.17786612500001,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月6日10_00_6月6日21_00,2024-06-06T20:10:47,2024-06-06T20:32:17,44,1290.0,94.13636363636364,-45.87354254545455,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月7日00_00_6月7日24_00,2024-06-07T00:00:18,2024-06-07T01:49:48,220,6570.0,0.0,-105.42762357272728,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月7日00_00_6月7日24_00,2024-06-07T15:21:19,2024-06-07T15:23:19,5,120.0,70.8,-28.5878898,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月12日14_00_6月12日17_00,2024-06-12T14:43:05,2024-06-12T14:46:05,7,180.0,93.57142857142857,-6.742671428571427,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月14日08_00_6月15日18_00,2024-06-14T19:16:16,2024-06-14T19:37:16,43,1260.0,0.0,-70.49442274418605,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月14日08_00_6月15日18_00,2024-06-15T00:34:16,2024-06-15T09:17:18,1047,31382.0,0.0,-57.324033561604594,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月14日08_00_6月15日18_00,2024-06-15T09:34:48,2024-06-15T16:27:49,827,24781.0,0.0,-58.15970622370012,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月14日08_00_6月15日18_00,2024-06-15T16:55:49,2024-06-15T16:58:19,6,150.0,0.0,-57.08203183333333,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
6月30日05_00_6月30日11_00,2024-06-30T10:35:40,2024-06-30T10:59:40,49,1440.0,0.0,-107.73008051020408,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
7月11日06_00_7月12日10_00,2024-07-11T18:24:34,2024-07-11T18:32:34,17,480.0,51.411764705882355,-7.580149352941178,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
7月11日06_00_7月12日10_00,2024-07-11T18:33:34,2024-07-11T20:05:04,184,5490.0,56.70108695652174,-16.667331570652173,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
7月11日06_00_7月12日10_00,2024-07-11T20:08:34,2024-07-11T21:42:34,189,5640.0,58.6931216931217,-18.07988606349206,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
7月11日06_00_7月12日10_00,2024-07-11T21:48:04,2024-07-12T08:12:35,1250,37471.0,47.892,-10.3746331008,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
7月25日08_00_7月25日17_00,2024-07-25T14:15:35,2024-07-25T14:38:05,46,1350.0,159.82608695652175,-69.13666036956522,0.0,0.0,0,external_charging_or_shore_power: stationary battery charging beyond 1 kW deadband
