parent_voyage,start_time,end_time,baseline_duration_s,baseline_mean_battery_kw,recovered_from_shore,final_normal_points,final_normal_duration_s
5月29日14_00_5月29日17_00,2024-05-29T16:52:57,2024-05-29T16:59:57,420.0,-0.1054227333333333,True,0,0.0
6月4日08_00_6月4日12_00,2024-06-04T11:21:42,2024-06-04T11:59:42,2280.0,-0.0973664415584415,True,0,0.0
6月5日08_00_6月5日19_00,2024-06-05T11:13:14,2024-06-05T12:19:45,3991.0,-0.1016961492537313,True,0,0.0
6月5日08_00_6月5日19_00,2024-06-05T12:21:15,2024-06-05T12:22:15,60.0,-0.118522,True,0,0.0
6月5日08_00_6月5日19_00,2024-06-05T18:05:45,2024-06-05T18:59:45,3240.0,-0.1101784770642201,True,0,0.0
6月5日08_00_6月5日19_00,2024-06-05T08:00:14,2024-06-05T08:08:14,480.0,-0.0130743529411764,True,0,0.0
6月6日10_00_6月6日21_00,2024-06-06T17:44:17,2024-06-06T19:14:17,5400.0,-0.0815298784530386,True,0,0.0
6月7日00_00_6月7日24_00,2024-06-07T01:59:48,2024-06-07T08:58:48,25140.0,-0.105482694874851,True,0,0.0
6月7日00_00_6月7日24_00,2024-06-07T11:41:18,2024-06-07T15:13:19,12721.0,-0.0905623623529411,True,0,0.0
6月7日00_00_6月7日24_00,2024-06-07T15:34:19,2024-06-07T23:59:50,30331.0,-0.0927769268774703,True,0,0.0
6月11日08_00_6月11日11_00,2024-06-11T08:00:00,2024-06-11T08:11:00,660.0,-0.120930304347826,True,0,0.0
6月11日08_00_6月11日11_00,2024-06-11T10:46:31,2024-06-11T10:59:31,780.0,-0.051793074074074,True,0,0.0
6月12日14_00_6月12日17_00,2024-06-12T14:00:05,2024-06-12T14:30:05,1800.0,-0.1026801967213114,True,0,0.0
6月12日14_00_6月12日17_00,2024-06-12T16:41:36,2024-06-12T16:59:35,1079.0,-0.033824054054054,True,0,0.0
6月12日14_00_6月12日17_00,2024-06-12T16:24:36,2024-06-12T16:41:05,989.0,-0.0239595882352941,True,0,0.0
6月13日08_00_6月13日14_00,2024-06-13T13:51:39,2024-06-13T13:59:39,480.0,-0.0357266470588235,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-14T08:00:14,2024-06-14T09:03:44,3810.0,-0.0864854409448818,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-14T17:31:46,2024-06-14T17:34:16,150.0,-0.0303458333333333,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-14T17:35:16,2024-06-14T18:26:46,3090.0,-0.0409034519230769,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-15T17:20:19,2024-06-15T17:59:49,2370.0,-0.033693175,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-14T17:22:46,2024-06-14T17:31:16,510.0,-0.0268734444444444,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-15T16:40:19,2024-06-15T16:49:19,540.0,-0.0343581052631578,True,0,0.0
6月14日08_00_6月15日18_00,2024-06-15T17:06:49,2024-06-15T17:19:49,780.0,-0.0267554074074074,True,0,0.0
6月17日09_00_6月17日16_00,2024-06-17T09:00:26,2024-06-17T09:25:26,1500.0,-0.1054187450980392,True,0,0.0
6月17日09_00_6月17日16_00,2024-06-17T15:17:56,2024-06-17T15:59:56,2520.0,-0.0705830235294117,True,0,0.0
6月20日08_00_6月20日16_00,2024-06-20T08:00:07,2024-06-20T09:09:37,4170.0,-0.0982377857142857,True,0,0.0
6月20日08_00_6月20日16_00,2024-06-20T14:51:08,2024-06-20T15:16:38,1530.0,-0.0453153269230769,True,0,0.0
6月20日08_00_6月20日16_00,2024-06-20T15:17:38,2024-06-20T15:59:38,2520.0,-0.0709761058823529,True,0,0.0
6月26日08_00_6月26日13_00,2024-06-26T08:00:28,2024-06-26T08:07:28,420.0,-0.1086587333333333,True,0,0.0
6月26日08_00_6月26日13_00,2024-06-26T12:26:58,2024-06-26T12:59:58,1980.0,-0.048999671641791,True,0,0.0
6月28日08_00_6月28日15_00,2024-06-28T08:00:02,2024-06-28T08:52:03,3121.0,-0.1181014380952381,True,0,0.0
6月28日08_00_6月28日15_00,2024-06-28T14:19:33,2024-06-28T14:59:34,2401.0,-0.0608242345679012,True,0,0.0
6月30日05_00_6月30日11_00,2024-06-30T05:00:09,2024-06-30T05:19:39,1170.0,-0.1063088,True,0,0.0
7月2日14_00_7月2日18_00,2024-07-02T14:00:18,2024-07-02T14:19:48,1170.0,-0.100959625,True,0,0.0
7月2日14_00_7月2日18_00,2024-07-02T17:36:20,2024-07-02T17:59:50,1410.0,-0.0378150624999999,True,0,0.0
7月3日08_00_7月3日16_00,2024-07-03T08:00:22,2024-07-03T08:22:22,1320.0,-0.0961196888888888,True,0,0.0
7月3日08_00_7月3日16_00,2024-07-03T15:10:53,2024-07-03T15:59:53,2940.0,-0.0643112929292929,True,0,0.0
7月9日08_00_7月9日16_00,2024-07-09T08:00:18,2024-07-09T08:17:48,1050.0,-0.0684125833333333,True,0,0.0
7月10日08_00_7月10日18_00,2024-07-10T08:00:23,2024-07-10T08:50:23,3000.0,-0.080043603960396,True,0,0.0
7月10日08_00_7月10日18_00,2024-07-10T17:57:32,2024-07-10T17:59:32,120.0,-0.0215782,True,0,0.0
7月11日06_00_7月12日10_00,2024-07-11T06:00:03,2024-07-11T06:11:03,660.0,-0.0911476086956521,True,0,0.0
7月11日06_00_7月12日10_00,2024-07-12T09:16:35,2024-07-12T09:59:35,2580.0,-0.1009234712643677,True,0,0.0
7月15日14_00_7月15日16_00,2024-07-15T14:00:13,2024-07-15T14:12:13,720.0,-0.0961297999999999,True,0,0.0
7月15日14_00_7月15日16_00,2024-07-15T15:51:43,2024-07-15T15:59:43,480.0,-0.0388321764705882,True,0,0.0
7月18日08_00_7月18日12_00,2024-07-18T08:00:20,2024-07-18T08:39:50,2370.0,-0.08666385,True,0,0.0
7月18日08_00_7月18日12_00,2024-07-18T11:03:20,2024-07-18T11:59:51,3391.0,-0.0561541754385964,True,0,0.0
7月19日07_00_7月19日09_00,2024-07-19T07:00:22,2024-07-19T07:28:22,1680.0,-0.0668624912280701,True,0,0.0
7月22日08_00_7月22日11_00,2024-07-22T08:00:28,2024-07-22T08:50:28,3000.0,-0.0769005247524752,True,0,0.0
