timestamp,fc_total_kw,battery_total_kw,load_total_kw,speed_aligned_kn,speed_source,soc_mean_pct,propulsion_inverter_kw,battery_state,aligned,is_shore,is_external_charging,is_abnormal,is_physical_inconsistency,parent_voyage
2024-05-20 08:00:03,0.0,-0.010683999999999985,-0.010683999999999985,0.0,nearest,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:00:33,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:01:03,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:01:33,0.0,-0.010121999999999978,-0.010121999999999978,0.0,exact,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:02:03,0.0,-0.010121999999999978,-0.010121999999999978,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:02:33,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:03:03,0.0,-0.010121999999999978,-0.010121999999999978,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:03:33,0.0,-0.008997999999999978,-0.008997999999999978,0.0,exact,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:04:03,0.0,-0.008997999999999985,-0.008997999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:04:33,0.0,-0.008997999999999978,-0.008997999999999978,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:05:03,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:05:33,0.0,-0.010121999999999978,-0.010121999999999978,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:06:03,0.0,-0.010121999999999978,-0.010121999999999978,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:06:33,0.0,-0.010121999999999978,-0.010121999999999978,0.0,exact,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:07:03,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
2024-05-20 08:07:33,0.0,-0.010683999999999985,-0.010683999999999985,0.0,linear,96.83333333333336,0.0,neutral,True,False,False,False,True,5月20日08_00_5月20日18_00
