soc_regime,load_regime,transition_regime,action_id,action_name,state_action_count,mean_p_fc0_kw,mean_p_batt0_kw,mean_soc1,mean_common_cost,mean_soc_deadband_component,winner_count
above_soft_range,load_high,rapid_fall,0,nominal,8,271.81383937578653,-18.78557593269489,0.6300083618018769,0.6257002759300478,3.124120563370255,8
above_soft_range,load_high,rapid_fall,1,hydrogen_economy,8,271.27884689019805,-18.250583448128452,0.6300081239796194,0.6309843206619983,3.1238544901186023,0
above_soft_range,load_high,rapid_fall,2,soc_regulation,8,265.29874629830346,-12.270482832732778,0.6300054553313724,1.185562973279099,3.1202643890804875,0
above_soft_range,load_high,rapid_fall,3,fast_fc_response,8,271.46067948690086,-18.432416045398956,0.6300082046115427,0.62900099574035,3.1239253167631533,0
above_soft_range,load_high,rapid_rise,0,nominal,8,62.087101787150644,183.51407593393762,0.6299183067660112,0.5968918470778009,3.0791628310183965,5
above_soft_range,load_high,rapid_rise,1,hydrogen_economy,8,61.67778162368964,183.92339609638861,0.6299181248836649,0.5997090015788795,3.078958567275836,0
above_soft_range,load_high,rapid_rise,2,soc_regulation,8,56.24021731995977,189.3609604113514,0.6299157010868528,1.055036646388176,3.0757969789853497,0
above_soft_range,load_high,rapid_rise,3,fast_fc_response,8,62.3128243744504,183.2883533450671,0.6299184072687838,0.5992928106346338,3.0792381078555486,3
above_soft_range,load_high,stable,0,nominal,8,289.3650500367688,-3.4730671380928326,0.630001545336716,0.6323742311585213,3.120685084418694,8
above_soft_range,load_high,stable,1,hydrogen_economy,8,288.8325647860898,-2.9405818884349144,0.6300013086302716,0.6375470838480679,3.120420452940441,0
above_soft_range,load_high,stable,2,soc_regulation,8,282.87386494944127,3.018117973980579,0.6299986488930002,1.1884983970966037,3.116842672165684,0
above_soft_range,load_high,stable,3,fast_fc_response,8,289.05455599851985,-3.162573101432076,0.6300014071393483,0.6351744311326373,3.120510179727966,0
above_soft_range,load_low,rapid_fall,0,nominal,6,260.62869033633217,-171.037037964622,0.6300761375530897,0.6531331972702171,3.158459948225032,6
above_soft_range,load_low,rapid_fall,1,hydrogen_economy,6,260.03453982630015,-170.44288745562125,0.6300758733992206,0.6602254662750929,3.158163010514587,0
above_soft_range,load_low,rapid_fall,2,soc_regulation,6,253.8589630004136,-164.267310607339,0.6300731180323476,1.2542926702911084,3.154456439982541,0
above_soft_range,load_low,rapid_fall,3,fast_fc_response,6,259.84568191645593,-170.25402954634976,0.6300757890130316,0.6640270669643386,3.1580574569850834,0
above_soft_range,load_low,rapid_rise,0,nominal,6,14.33109946017406,89.34018767436709,0.6299602288988863,0.5328654312949985,3.099940848107718,3
above_soft_range,load_low,rapid_rise,1,hydrogen_economy,6,13.893746050323722,89.7775410832017,0.6299600345391942,0.5362368546230443,3.099722511927075,0
above_soft_range,load_low,rapid_rise,2,soc_regulation,6,9.551187013098692,94.12010013065651,0.6299580984650416,0.814052727915772,3.09765573875242,0
above_soft_range,load_low,rapid_rise,3,fast_fc_response,6,14.292349049333412,89.37893808362816,0.6299602116698736,0.5334939358583702,3.099894501537328,3
above_soft_range,load_low,stable,0,nominal,6,81.12831837143443,18.98960287447549,0.6299915459297308,0.5504254355436072,3.1156556571925624,6
above_soft_range,load_low,stable,1,hydrogen_economy,6,80.64854784247774,19.469373402412263,0.6299913326891527,0.5546691660521186,3.1154163203096368,0
above_soft_range,load_low,stable,2,soc_regulation,6,74.69651025654376,25.421410999695766,0.6299886798369833,1.0967357239267883,3.1118456337767277,0
above_soft_range,load_low,stable,3,fast_fc_response,6,80.88847036255164,19.22945088177209,0.6299914391808814,0.5524434218699904,3.1155143180424187,0
above_soft_range,load_medium,rapid_fall,0,nominal,6,4.039955411120365,137.55412117934182,0.6299387661456323,0.5397870084574512,3.0892113928203053,6
above_soft_range,load_medium,rapid_fall,1,hydrogen_economy,6,3.624234820715266,137.96984176873409,0.6299385814149908,0.5427082652223184,3.089003849790553,0
above_soft_range,load_medium,rapid_fall,2,soc_regulation,6,1.4705908191000112,140.12348578062213,0.629937619741128,0.6117270864384055,3.088443382185597,0
above_soft_range,load_medium,rapid_fall,3,fast_fc_response,6,4.137802798021901,137.45627379086523,0.6299388097239716,0.5400524528432302,3.0892290479657105,0
above_soft_range,load_medium,rapid_rise,0,nominal,6,79.0861962409476,55.471127306892605,0.6299753059364278,0.5519513104335986,3.107496995634866,3
above_soft_range,load_medium,rapid_rise,1,hydrogen_economy,6,78.62159043618377,55.9357331106387,0.6299750994458143,0.5558271504444737,3.1072653514582655,0
above_soft_range,load_medium,rapid_rise,2,soc_regulation,6,72.71589319124875,61.841430366957525,0.6299724672134178,1.0887215511798498,3.103721971460972,0
above_soft_range,load_medium,rapid_rise,3,fast_fc_response,6,78.94950840978308,55.60781513647436,0.6299752451099678,0.5531322856914628,3.1074045025891537,3
above_soft_range,load_medium,stable,0,nominal,6,110.57144921178404,43.62381271027021,0.6299805798473362,0.5627223686744625,3.110143848520655,6
above_soft_range,load_medium,stable,1,hydrogen_economy,6,110.09545919704,44.09980272399586,0.629980368289198,0.5668102047407804,3.109906661281286,0
above_soft_range,load_medium,stable,2,soc_regulation,6,104.17796285396038,50.017299079449764,0.6299777305349105,1.1031476286162176,3.106355932682872,0
above_soft_range,load_medium,stable,3,fast_fc_response,6,110.40019890189247,43.79506301857793,0.6299805036351752,0.5641587794959254,3.1100350197396565,0
below_soft_range,load_high,rapid_fall,0,nominal,8,272.1234774843519,-19.09521404747568,0.4700085010837825,0.6245990383605292,3.1156993100489125,8
below_soft_range,load_high,rapid_fall,1,hydrogen_economy,8,271.7942423515883,-18.76597891369214,0.4700083541901165,0.6255624797283342,3.1158424993070057,0
below_soft_range,load_high,rapid_fall,2,soc_regulation,8,278.1524484191971,-25.12418497907359,0.4700111841602852,1.1019893243585888,3.1120796095215475,0
below_soft_range,load_high,rapid_fall,3,fast_fc_response,8,272.23010346130206,-19.201840022839626,0.47000854852796464,0.6252212867194646,3.115620839838328,0
below_soft_range,load_high,rapid_rise,0,nominal,8,62.39673989571607,183.20443781915682,0.46991844604791694,0.6008324247666491,3.1614356232768435,3
below_soft_range,load_high,rapid_rise,1,hydrogen_economy,8,62.19317708507992,183.40800063082492,0.4699183550941622,0.6009288300880936,3.161520583643957,5
below_soft_range,load_high,rapid_rise,2,soc_regulation,8,68.78742387682368,176.81375383358647,0.46992129224069323,1.1331226695190963,3.1576108930175417,0
below_soft_range,load_high,rapid_rise,3,fast_fc_response,8,63.08224834885155,182.5189293676265,0.46991875118520576,0.6093442079830677,3.161077561402781,0
below_soft_range,load_high,stable,0,nominal,8,289.67468814533424,-3.7827052528736136,0.4700016846186218,0.6316441340831472,3.1191298311674807,4
below_soft_range,load_high,stable,1,hydrogen_economy,8,289.3479602474801,-3.4559773539985965,0.47000153884076895,0.6325479723946559,3.1192720093767123,4
below_soft_range,load_high,stable,2,soc_regulation,8,295.72756282608043,-9.835579928950494,0.4700043779496477,1.1124102895557773,3.115496531390863,0
below_soft_range,load_high,stable,3,fast_fc_response,8,289.82397997292094,-3.9319970788727234,0.4700017510557702,0.6324002200579769,3.119031151207297,0
below_soft_range,load_low,rapid_fall,0,nominal,6,260.93832844489754,-171.34667607940273,0.4700762768349955,0.6482904943775967,3.081776122172476,6
below_soft_range,load_low,rapid_fall,1,hydrogen_economy,6,260.5499352876904,-170.9582829211848,0.4700761036097178,0.6502095857907499,3.081945246154229,0
below_soft_range,load_low,rapid_fall,2,soc_regulation,6,266.7126738841921,-177.12102151516214,0.4700788464838195,1.090375563450326,3.078298676748549,0
below_soft_range,load_low,rapid_fall,3,fast_fc_response,6,260.6151058908571,-171.0234535237904,0.4700761329294536,0.6500474119160025,3.0818989254296127,0
below_soft_range,load_low,rapid_rise,0,nominal,6,14.640737568739482,89.03054955958628,0.4699603681807918,0.5345045671067352,3.1399889624718686,3
below_soft_range,load_low,rapid_rise,1,hydrogen_economy,6,14.409141511713997,89.26214561763804,0.46996026474969144,0.5347128081295344,3.1400868791280825,3
below_soft_range,load_low,rapid_rise,2,soc_regulation,6,20.878179766223596,82.79310735683553,0.46996314637482595,1.0428532111643627,3.136253641537038,0
below_soft_range,load_low,rapid_rise,3,fast_fc_response,6,15.061773023734574,88.60951410618753,0.46996055558629535,0.5372868314861735,3.1397606337390065,0
below_soft_range,load_low,stable,0,nominal,6,81.43795647999984,18.679964759694688,0.46999168521163653,0.5503131830559688,3.124164308096979,0
below_soft_range,load_low,stable,1,hydrogen_economy,6,81.16394330386801,18.9539779368486,0.46999156289965,0.5508501348626557,3.1242817502448634,3
below_soft_range,load_low,stable,2,soc_regulation,6,87.55024015513965,12.567681080141517,0.4699944074579901,1.0401156677691454,3.120499429352648,0
below_soft_range,load_low,stable,3,fast_fc_response,6,81.65789433695282,18.460026904331453,0.46999178309730333,0.5514340917269357,3.1240320920216305,3
below_soft_range,load_medium,rapid_fall,0,nominal,6,4.349593519685786,137.244483064561,0.46993890542753797,0.5426153049271284,3.15087594079321,3
below_soft_range,load_medium,rapid_fall,1,hydrogen_economy,6,4.139630282105539,137.45444630317044,0.4699388116254881,0.5426721320854396,3.1509639187263274,3
below_soft_range,load_medium,rapid_fall,2,soc_regulation,6,10.669113166248204,130.92496341281856,0.469941720135635,1.0633048534951604,3.1470938039801126,0
below_soft_range,load_medium,rapid_fall,3,fast_fc_response,6,4.9072267724230585,136.6868498134246,0.4699391536403936,0.5470925334132353,3.1505817969393513,0
below_soft_range,load_medium,rapid_rise,0,nominal,6,79.39583434951301,55.161489192111766,0.46997544521833357,0.5527370453687194,3.132362124063756,3
below_soft_range,load_medium,rapid_rise,1,hydrogen_economy,6,79.13698589757404,55.420337645075044,0.46997532965631156,0.5531202147385272,3.1324727119631017,3
below_soft_range,load_medium,rapid_rise,2,soc_regulation,6,85.56962195492811,48.98770158213291,0.4699781948847271,1.051524412674283,3.128662395971535,0
below_soft_range,load_medium,rapid_rise,3,fast_fc_response,6,79.71893238418424,54.83839115903373,0.46997558902638964,0.5545728516381468,3.1321807139168656,0
below_soft_range,load_medium,stable,0,nominal,6,110.88108732034947,43.31417459548938,0.46998071912924194,0.5632068148249955,3.129698313936487,3
below_soft_range,load_medium,stable,1,hydrogen_economy,6,110.61085465843026,43.5844072584322,0.46998059849969526,0.5636683559978187,3.1298141993126367,3
below_soft_range,load_medium,stable,2,soc_regulation,6,117.03168896775021,37.16357294407967,0.46998345832339194,1.0585240036894508,3.126011426531806,0
below_soft_range,load_medium,stable,3,fast_fc_response,6,111.16962287629366,43.02563904113726,0.46998084755159697,0.5647655623081093,3.1295334094692624,0
inside_soft_range,load_high,rapid_fall,0,nominal,12,271.9687828229054,-18.94051938292381,0.5500084314987433,0.10485119673061843,8.548657245051899e-07,12
inside_soft_range,load_high,rapid_fall,1,hydrogen_economy,12,271.536740894895,-18.50847745491357,0.5500082391725177,0.10744268593527206,7.693636793056931e-07,0
inside_soft_range,load_high,rapid_fall,2,soc_regulation,12,271.7305377923412,-18.70227431688515,0.5500083158007573,0.1058796323351221,8.034291626824244e-07,0
inside_soft_range,load_high,rapid_fall,3,fast_fc_response,12,271.84569588636595,-18.81743244638487,0.5500083767057812,0.10525975163445545,8.299188631881182e-07,0
inside_soft_range,load_high,rapid_rise,0,nominal,12,62.24070410687228,183.3604736111306,0.5499183758601388,0.07855958272669634,0.00013061834507063495,9
inside_soft_range,load_high,rapid_rise,1,hydrogen_economy,12,61.93344660525171,183.66773111275486,0.5499182390812145,0.07949381845660039,0.00013112961271039808,3
inside_soft_range,load_high,rapid_rise,2,soc_regulation,12,62.31005450253775,183.2911230694344,0.5499184464220132,0.07930448716697046,0.00012995934367092578,0
inside_soft_range,load_high,rapid_rise,3,fast_fc_response,12,62.694530970293414,182.90664674771526,0.5499185778841159,0.08242151444436155,0.0001290820283381126,0
inside_soft_range,load_high,stable,0,nominal,12,289.5199233270162,-3.627940415574726,0.5500016112843695,0.11171090633138565,2.856022554122308e-08,12
inside_soft_range,load_high,stable,1,hydrogen_economy,12,289.0903618557852,-3.1983789403924825,0.5500014200206437,0.11421779587917591,1.4845603720474626e-08,0
inside_soft_range,load_high,stable,2,soc_regulation,12,289.3014613188089,-3.4094784011319312,0.5500015117435649,0.11258546294821377,2.091613436150569e-08,0
inside_soft_range,load_high,stable,3,fast_fc_response,12,289.43937295875037,-3.547390055516825,0.5500015755095014,0.1119369253563523,2.564115996295165e-08,0
inside_soft_range,load_low,rapid_fall,0,nominal,9,260.7846432195294,-171.1929908509477,0.5500762077036189,0.13040781284018343,7.02210287817434e-05,9
inside_soft_range,load_low,rapid_fall,1,hydrogen_economy,9,260.2941124486008,-170.70246008002252,0.5500759893416862,0.134364081420347,6.93139042141887e-05,0
inside_soft_range,load_low,rapid_fall,2,soc_regulation,9,260.3325732640259,-170.7409205651992,0.5500759167040363,0.13391268089764052,6.907005743991943e-05,0
inside_soft_range,load_low,rapid_fall,3,fast_fc_response,9,260.23318974723065,-170.64153737865428,0.550075962220501,0.13514821030087396,6.920088773198531e-05,0
inside_soft_range,load_low,rapid_rise,0,nominal,9,14.485326182108874,89.18596094933542,0.5499602982736325,0.013386930925061897,1.91777257948247e-05,9
inside_soft_range,load_low,rapid_rise,1,hydrogen_economy,9,14.15044957984556,89.52083755160054,0.5499601492004943,0.014652266851476926,1.9502968604662427e-05,0
inside_soft_range,load_low,rapid_rise,2,soc_regulation,9,14.42665230883927,89.24463464886784,0.5499603193747586,0.013470827989541932,1.914686223465955e-05,0
