window_id,segment_id,window_regime,window_start_index,window_steps_requested,initial_soc,window_mean_load_kw,window_max_load_kw,window_mean_abs_delta_kw,action_id,action_name,completed,steps,mpc_solves,hydrogen_kg,battery_throughput_kwh,fc_total_variation_kw,min_soc,final_soc,mean_fc_kw,peak_battery_discharge_kw,last_solver_status
window_01,operating_segment_0091,low_load_stable,30,300,0.55,6.374705584783869,13.768700000000024,0.05136007072030224,0,nominal,True,300,300,0.010285335376863006,0.3300465778808273,13.768700000000031,0.5494904129186929,0.5494904129186929,2.5370226866293986,7.200249999999997,solved
window_01,operating_segment_0091,low_load_stable,30,300,0.55,6.374705584783869,13.768700000000024,0.05136007072030224,1,hydrogen_economy,True,300,300,0.0025341740257792105,0.4773076843961563,13.768700000000022,0.5492350838391084,0.5492350838391084,0.6251185386966632,9.32851609062744,solved
window_01,operating_segment_0091,low_load_stable,30,300,0.55,6.374705584783869,13.768700000000024,0.05136007072030224,2,soc_regulation,True,300,300,0.004143647707221705,0.444224384904461,13.76870000000002,0.5492881019472682,0.5492881019472682,1.0221181325970068,7.5907269833391995,solved
window_01,operating_segment_0091,low_load_stable,30,300,0.55,6.374705584783869,13.768700000000024,0.05136007072030224,3,fast_fc_response,True,300,300,0.007034645689488879,0.3847980503933039,13.768700000000019,0.5493833364577025,0.5493833364577025,1.7352341467308923,7.200249999999997,solved
window_02,operating_segment_0031,medium_load_stable,14490,300,0.55,230.18686334694252,354.48456,1.9546876845505003,0,nominal,True,300,300,0.2710789344424936,13.772657828944894,14.821005767228044,0.5279284329664345,0.5279284329664345,65.80337826627051,289.59447219610854,solved
window_02,operating_segment_0031,medium_load_stable,14490,300,0.55,230.18686334694252,354.48456,1.9546876845505003,1,hydrogen_economy,True,300,300,0.09993341606132153,17.22273109170766,70.38077000000006,0.5223994694043153,0.5223994694043153,24.402499113117255,354.48456,solved
window_02,operating_segment_0031,medium_load_stable,14490,300,0.55,230.18686334694252,354.48456,1.9546876845505003,2,soc_regulation,True,300,300,0.2644975006613403,13.903682757151795,37.673722383071265,0.5277184571199491,0.5277184571199491,64.2310791277877,288.2469537701072,solved
window_02,operating_segment_0031,medium_load_stable,14490,300,0.55,230.18686334694252,354.48456,1.9546876845505003,3,fast_fc_response,True,300,300,0.4229632405585946,10.794424155687397,81.39299006230716,0.5327012433402434,0.5327012433402434,101.54218234536037,228.1224002871612,solved
window_03,operating_segment_0138,high_load,2220,300,0.55,1097.5435240076567,1103.7015,0.17519864981362537,0,nominal,True,300,300,2.841252739213962,41.45970816730478,4.774847184307873e-12,0.48355815998829343,0.48355815998829343,600.0,503.7015,solved
window_03,operating_segment_0138,high_load,2220,300,0.55,1097.5435240076567,1103.7015,0.17519864981362537,1,hydrogen_economy,True,300,300,2.7664662620727314,42.61220441141382,23.640210187261687,0.4817112108791452,0.4817112108791452,586.1700450706911,524.7663718815579,solved
window_03,operating_segment_0138,high_load,2220,300,0.55,1097.5435240076567,1103.7015,0.17519864981362537,2,soc_regulation,True,300,300,2.8412527392139615,41.45970816708625,3.654929514596006e-08,0.48355815998864354,0.48355815998864354,600.0000000026221,503.7015000000001,solved
window_03,operating_segment_0138,high_load,2220,300,0.55,1097.5435240076567,1103.7015,0.17519864981362537,3,fast_fc_response,True,300,300,2.841252739213962,41.459708167304754,1.4551915228366852e-11,0.48355815998829343,0.48355815998829343,600.0000000000002,503.7014999999998,solved
window_04,operating_segment_0067,rapid_load_rise,0,300,0.55,484.35694654806855,660.6247000000001,2.04796917324146,0,nominal,True,300,300,0.36996823500581427,33.08878675742055,52.20143959015503,0.49697309814515883,0.49697309814515883,89.15492372568873,555.79484350225,solved
window_04,operating_segment_0067,rapid_load_rise,0,300,0.55,484.35694654806855,660.6247000000001,2.04796917324146,1,hydrogen_economy,True,300,300,0.22477243035585517,35.95916602457936,62.66812892062323,0.49237313137086625,0.49237313137086625,54.71037251978288,601.9833104166948,solved
window_04,operating_segment_0067,rapid_load_rise,0,300,0.55,484.35694654806855,660.6247000000001,2.04796917324146,2,soc_regulation,True,300,300,0.4812948802154318,30.95760463847288,133.44374330290634,0.5003884541050109,0.5003884541050109,114.7291091530607,538.6295930782205,solved
window_04,operating_segment_0067,rapid_load_rise,0,300,0.55,484.35694654806855,660.6247000000001,2.04796917324146,3,fast_fc_response,True,300,300,0.7737875444381657,25.527354635459876,263.5034641198769,0.5090907778277896,0.5090907778277896,179.89210918921668,479.9236585107392,solved
window_05,operating_segment_0067,rapid_load_fluctuation,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,0,nominal,True,300,300,2.717499889723037,7.666142573038433,57.285119881301284,0.5466164121330334,0.5554734062206282,577.036143211473,108.16451618356359,solved
window_05,operating_segment_0067,rapid_load_fluctuation,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,1,hydrogen_economy,True,300,300,2.381785821219159,8.179853674760182,182.11610902347536,0.542964785816344,0.546948447785349,513.201254448101,160.04208843226593,solved
window_05,operating_segment_0067,rapid_load_fluctuation,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,2,soc_regulation,True,300,300,2.5688643105437325,7.466586774442663,127.30627556821838,0.5459722538236482,0.5517322783869485,549.0225779928709,126.3471364677863,solved
window_05,operating_segment_0067,rapid_load_fluctuation,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,3,fast_fc_response,True,300,300,2.6882027263683703,7.105942697101958,111.35872508386842,0.5468279708809969,0.5547301383574177,571.4705534517412,100.18611233727279,solved
window_06,operating_segment_0067,rapid_load_fall,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,0,nominal,True,300,300,2.717499889723037,7.666142573038433,57.285119881301284,0.5466164121330334,0.5554734062206282,577.036143211473,108.16451618356359,solved
window_06,operating_segment_0067,rapid_load_fall,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,1,hydrogen_economy,True,300,300,2.381785821219159,8.179853674760182,182.11610902347536,0.542964785816344,0.546948447785349,513.201254448101,160.04208843226593,solved
window_06,operating_segment_0067,rapid_load_fall,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,2,soc_regulation,True,300,300,2.5688643105437325,7.466586774442663,127.30627556821838,0.5459722538236482,0.5517322783869485,549.0225779928709,126.3471364677863,solved
window_06,operating_segment_0067,rapid_load_fall,720,300,0.55,537.9548940980679,693.2423000000001,3.738525368529538,3,fast_fc_response,True,300,300,2.6882027263683703,7.105942697101958,111.35872508386842,0.5468279708809969,0.5547301383574177,571.4705534517412,100.18611233727279,solved
window_07,operating_segment_0031,soc_low_counterfactual,14490,300,0.45,230.18686334694252,354.48456,1.9546876845505003,0,nominal,True,300,300,0.44002810509693185,10.46347737417068,76.79715852187938,0.4332316067721624,0.4332316067721624,105.51354372356091,219.94265121201448,solved
