regime,count,fraction,threshold,threshold_unit,threshold_status,mean_soc,mean_load_kw,mean_fc_kw,mean_delta_load_kw,mean_delta_fc_kw
steady_load,4923,0.5,0.06666652857142852,kW/s,DESCRIPTIVE_TRAIN_ONLY,0.7485211084027354,247.44893911354868,95.95978062157221,-0.06291485769241069,0.31970662359804436
load_rise,2555,0.25949624212878325,0.06666652857142852,kW/s,DESCRIPTIVE_TRAIN_ONLY,0.7722590671885192,400.57813715816405,148.36242661448142,34.60072161447759,1.163216112785714
load_fall,2368,0.24050375787121675,-0.06666652857142852,kW/s,DESCRIPTIVE_TRAIN_ONLY,0.723713013795045,309.3934820606101,161.953125,-35.73952613674844,-0.5984835571507087
high_volatility,2462,0.2500507820434694,21.484259444422264,kW,DESCRIPTIVE_TRAIN_ONLY,0.7639549147034931,340.51895396816974,152.57879772542648,0.119275672850224,0.24008528382037359
low_soc,0,0.0,0.4,fraction,FROZEN_CONTROLLER_BOUND,,,,,
high_soc,8515,0.8648182002843794,0.6,fraction,FROZEN_CONTROLLER_BOUND,0.7824563026032492,301.54016089496577,115.12566059894304,1.3494022760335063,0.39625377974233394
fc_low_load,5136,0.5216331505179769,0.0,kW,DESCRIPTIVE_TRAIN_ONLY,0.7727147098909658,166.34316047267018,0.0,2.1863680169159507,-0.021500196057026414
fc_high_load,2482,0.2520820637822466,265.0,kW,DESCRIPTIVE_TRAIN_ONLY,0.7260721528337362,515.0417246740532,354.72441579371474,-3.7182434320576747,0.6239127595936624
