parent,sample_id,timestamp,soc,fc_power_kw,previous_fc_power_kw,battery_power_kw,load_power_kw,recent_load_mean_kw,recent_load_population_std_kw,recent_load_trend_kw_per_s,base_load_kw,recent_delta_soc,delta_load_kw,delta_fc_kw,measured_power_balance_residual_kw,history_sample_count,speed_kn
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:31:29+08:00,0.9590833333333334,0.0,0.0,0.9574620000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9574620000000004,1,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:36:59+08:00,0.9573333333333333,0.0,0.0,38.34173,38.34173,32.28848128718221,5.514565127607366,0.10483687233859006,31.572600054749785,0.0,6.769129945250214,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:37:29+08:00,0.95725,0.0,0.0,38.05924,38.05924,34.81017444226825,3.8732466303219235,0.06992067428163733,33.41135937880957,-8.333333333321313e-05,4.647880621190431,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:37:59+08:00,0.957,0.0,0.0,38.9122,38.9122,36.68180446922772,2.4157804463563592,0.04193576529162119,34.97067546044089,-0.0003333333333332966,3.9415245395591114,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:38:29+08:00,0.957,0.0,0.0,43.458380000000005,43.458380000000005,38.60599512990327,2.4489332310068552,0.04241471635913969,37.37667394250661,-0.0003333333333332966,6.081706057493392,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:38:59+08:00,0.95675,0.0,0.0,43.8804,43.8804,40.034620506182904,2.6039927023832057,0.045548614109060005,39.220276644411356,-0.0005833333333332691,4.660123355588645,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:39:29+08:00,0.9564166666666667,0.0,0.0,47.15648,47.15648,41.63473833333333,3.413175536908003,0.06293658095238099,41.469941808639966,-0.0009166666666665657,5.686538191360036,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:39:59+08:00,0.9561666666666667,0.0,0.0,53.16016,53.16016,44.10447666666667,5.087442048396118,0.09586615238095236,44.78375263845124,-0.001083333333333325,8.376407361548758,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:40:29+08:00,0.9559166666666666,0.0,0.0,56.44414,56.44414,47.16862666666666,5.981648505550584,0.11432487619047618,48.08910736203141,-0.001083333333333325,8.355032637968584,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:40:59+08:00,0.95575,0.0,0.0,55.96503,55.96503,50.010765,5.4071301927724695,0.10116966666666662,50.32168483023859,-0.0012499999999999734,5.64334516976141,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:41:29+08:00,0.9555000000000001,0.0,0.0,55.68052,55.68052,52.04778833333333,4.825935656051291,0.08448593333333332,51.84074681266194,-0.0012499999999998623,3.8397731873380607,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:41:59+08:00,0.9550000000000001,0.0,0.0,56.65962,56.65962,54.17765833333334,3.343715786638254,0.05199778095238094,53.206746479587764,-0.0014166666666666217,3.4528735204122327,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:42:29+08:00,0.9548333333333333,0.0,0.0,55.89499,55.89499,55.634076666666665,1.155275455301558,0.013367695238095249,53.96877934717752,-0.0013333333333334085,1.9262106528224834,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:42:59+08:00,0.9546666666666667,0.0,0.0,56.10255,56.10255,56.124475,0.33272328446473204,-0.000894257142857127,54.57363651766922,-0.0012499999999999734,1.528913482330779,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:43:29+08:00,0.9545,0.0,0.0,55.89166,55.89166,56.032395,0.3069672777756599,0.00012820000000001556,54.947254906838495,-0.0012499999999999734,0.9444050931615067,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:43:59+08:00,0.9540000000000001,0.0,0.0,56.67135,56.67135,56.150115,0.38426356322841554,0.0027217428571428503,55.435981883343146,-0.0015000000000000568,1.2353681166568506,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:44:29+08:00,0.9538333333333333,0.0,0.0,56.18603,56.18603,56.234366666666666,0.32252423147554,-0.00023786666666664825,55.64859703997846,-0.0011666666666667602,0.5374329600215404,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:44:59+08:00,0.9536666666666666,0.0,0.0,55.87618,55.87618,56.10379333333333,0.27967010260106173,0.0008915047619047522,55.71310968339151,-0.0011666666666667602,0.16307031660848992,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:45:29+08:00,0.9534166666666667,0.0,0.0,57.72434,57.72434,56.40868499999999,0.6447365475073251,0.00721637142857141,56.283230505374775,-0.0012499999999999734,1.4411094946252234,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:45:59+08:00,0.953,0.0,0.0,57.09772,57.09772,56.57454666666666,0.6720740698679635,0.00845659047619048,56.5141127749676,-0.0015000000000000568,0.5836072250324023,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:46:29+08:00,0.95275,0.0,0.0,55.48315,55.48315,56.50646166666667,0.7535582717440555,-0.0012931142857142601,56.22186710830033,-0.0012500000000000844,-0.7387171083003281,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:46:59+08:00,0.9526666666666667,0.0,0.0,65.01843,65.01843,57.897641666666665,3.271626160496827,0.04033932380952379,58.71541726266567,-0.0011666666666666492,6.303012737334328,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:47:29+08:00,0.9520833333333334,0.0,0.0,90.0283,90.0283,63.538019999999996,12.266401335772173,0.18193171428571428,67.59163909437444,-0.001583333333333159,22.43666090562556,0.0,0.0,6,0.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:47:59+08:00,0.9516666666666667,0.0,0.0,154.8641,154.8641,80.03600666666667,35.476366128361036,0.5657388761904762,92.33064921029234,-0.0017500000000000293,62.53345078970767,0.0,0.0,6,0.2
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:48:29+08:00,0.9507500000000001,0.0,0.0,191.2893,191.2893,102.29683333333334,52.37310650007491,0.946772019047619,120.38232825703682,-0.0022499999999998632,70.90697174296318,0.0,0.0,6,2.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:48:59+08:00,0.9499166666666667,0.0,0.0,184.2595,184.2595,123.49046333333332,55.433974047719346,1.0357430095238096,138.48950641526758,-0.0028333333333332433,45.76999358473242,0.0,0.0,6,2.0
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:49:29+08:00,0.94925,0.0,0.0,88.68028,88.68028,129.02331833333335,49.73367766164641,0.4165981428571428,124.37015028199829,-0.0034166666666666234,-35.689870281998296,0.0,0.0,6,2.7
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:49:59+08:00,0.94875,0.0,0.0,111.2117,111.2117,136.72219666666666,42.24062778506086,-0.09491834285714291,120.64014162568029,-0.0033333333333334103,-9.428441625680293,0.0,0.0,6,1.8
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:50:29+08:00,0.9480833333333333,0.0,0.0,139.97858,139.97858,145.04724333333334,36.78783641490652,-0.39070440000000006,126.12198340719823,-0.0035833333333333828,13.856596592801765,0.0,0.0,6,1.8
3月27日07_00_3月27日11_00,zero_boundary_002,2024-03-27 07:50:59+08:00,0.9472499999999999,0.0,0.0,243.7608,243.7608,159.86336,52.36245659666729,0.14480586666666653,159.4689045724101,-0.0035000000000001696,84.29189542758988,0.0,0.0,6,2.3
