epoch,train_loss,val_loss,val_MAE,val_RMSE,val_MAPE,val_sMAPE,val_bias,val_h1_MAE,val_h1_bias,val_h3_MAE,val_h3_bias,val_h6_MAE,val_h6_bias,val_top10_load_bias,val_peak_underestimation_ratio,val_ramp_RMSE
1,0.1384844510183216,0.04901833459734917,5.294953069990443,7.226329326999198,22.732939985611605,23.271866070038858,3.673198521156288,4.191095297821078,3.1437252549568737,5.390924938068875,3.975759825977965,6.266117054633567,4.313884928764491,1.4239578423676666,0.4108115468409586,4.058107382670222
2,0.042229419347280875,0.044651731848716736,4.559197765448366,6.599039697860516,20.03146400104079,21.425682876238497,2.712270740595082,3.179791352710597,1.9916698762876928,4.569829931480971,2.945497188544192,5.589151996011533,3.288564888653971,2.474767693507126,0.3263888888888889,4.01938025274632
3,0.03865950941466368,0.04218687862157822,4.217340105348216,6.271264464815475,18.40691534701379,20.240469217020987,2.205970451369349,2.7535282620734542,1.1773223733592877,4.183174777148497,2.4243651155639645,5.2685473401820895,2.8267919539891033,1.3604002396265666,0.38657407407407407,4.022560594573164
4,0.036770623428030655,0.04152107238769531,4.299907303771724,6.288168267434615,19.951822560385125,20.517786179224075,2.497579498119454,2.7321005858894454,1.4852534013276926,4.266421870564023,2.6041644731803384,5.505534403483396,3.3240691174858146,0.8360087668973634,0.420479302832244,4.071116007306572
5,0.03586753208834965,0.04353339597582817,4.245341936118295,6.342740351160024,16.66664130796272,18.84187927152848,2.2623916656480487,2.8461302957355676,1.5673318152843587,4.171403739818072,2.3613073044369672,5.312662156301561,2.7566974581314305,2.0681796899808,0.3401416122004357,3.9972642088577826
6,0.03436233475207327,0.04367351531982422,4.142962621196262,6.229571556300526,16.45404671092186,19.785074076176876,1.992912045996385,2.6123138736711864,1.1202258513442718,4.027496477759567,2.0389241147993498,5.201864969327301,2.43103466805067,0.8657368631923898,0.40917755991285404,4.047895447814963
7,0.03401803060207898,0.044000301510095596,4.382132813951011,6.475261542551976,18.010817944717992,19.020393846514104,2.5051484632280223,2.748565082164234,1.5157566107179232,4.170835813679329,2.397388343228382,5.691465745019842,3.31601700507268,2.134972450520218,0.3276143790849673,4.119035257042862
8,0.03283794983648337,0.044768836349248886,4.378958054326101,6.516660196113442,15.786699094489421,17.744264017427703,2.4358390465392796,2.786138515169666,1.5587066240342748,4.318590520147355,2.551435734147485,5.568269968517277,2.9818552104967524,2.646277158348649,0.3028322440087146,4.093077789163736
9,0.0327757801174019,0.04357960820198059,4.396010223207237,6.46051369970126,18.109070699340972,19.386400741752087,2.603973935077433,2.937162203385123,1.9140921454282116,4.238312066172043,2.6155180940179883,5.4900165124158145,3.032880250702979,2.4617979116169715,0.31604030501089325,4.048285304829873
10,0.031810539440275766,0.04351718723773956,4.033183578516726,6.127308887462103,15.477938099306094,17.363023145192873,1.7190133880567358,2.4888043112315557,0.9178356455496711,3.8666957453243773,1.746029824484715,5.205715664150145,2.1582754648586,0.6213110090600636,0.4285130718954248,4.095133034888441
11,0.03131317436241378,0.045689038932323456,4.335228540123464,6.447179021291356,16.268218463152984,17.73766032313921,2.183319517196576,2.6614770673002757,1.201485845744683,4.123708387512642,2.131925345786851,5.593814361638503,2.7526740721659966,2.1486817928181234,0.3462690631808279,4.151876912786625
12,0.030869427871388886,0.04419119656085968,4.049391118191004,6.040153946779658,16.10152648968044,17.654538535925806,1.6624332833316278,2.544362762958607,0.9710179188140571,3.8935867877195673,1.7136496337932479,5.252851540914304,2.1174185524871745,0.020911046622365464,0.4670479302832244,4.092134576304368
13,0.030071072787858356,0.04595554620027542,4.395683178866143,6.497595930905646,15.293482889145299,18.235032189624686,2.283596968326532,2.7625861827819302,1.4927060944928185,4.211057401096745,2.318407565180838,5.694642318097248,2.758888312924012,2.235129469879832,0.32856753812636164,4.152731091429921
14,0.02946685283826903,0.045975275337696075,4.37211956304587,6.476008883212135,15.894172866538447,17.65854443939614,2.251706708597385,2.7570325148649695,1.4530093224277307,4.122089095796975,2.1841945951906028,5.6555843664670755,2.6977438228866393,1.7783093213515602,0.35266884531590414,4.127137917752866
15,0.02915618952232389,0.045343175530433655,4.171538690330678,6.243816113130096,14.463266108522236,17.196540034243124,1.8938216163670636,2.641100835864135,1.2250278209342902,4.018746574989929,1.9693069331326716,5.360191904335223,2.1780295536531478,0.96348518483779,0.4078159041394335,4.104634097520945
