load_regime,A0_wins,A1_wins,A2_wins,A3_wins,A0_share,A1_share,A2_share,A3_share
load_high,38,8,101,147,0.1292517006802721,0.027210884353741496,0.3435374149659864,0.5
load_low,0,13,260,0,0.0,0.047619047619047616,0.9523809523809523,0.0
load_medium,29,26,218,0,0.10622710622710622,0.09523809523809523,0.7985347985347986,0.0
