transition_regime,A0_wins,A1_wins,A2_wins,A3_wins,A0_share,A1_share,A2_share,A3_share
rapid_fall,21,13,190,56,0.075,0.04642857142857143,0.6785714285714286,0.2
rapid_rise,19,21,199,41,0.06785714285714285,0.075,0.7107142857142857,0.14642857142857144
stable,27,13,190,50,0.09642857142857143,0.04642857142857143,0.6785714285714286,0.17857142857142858
