fc_regime,A0_wins,A1_wins,A2_wins,A3_wins,A0_share,A1_share,A2_share,A3_share
below_590,29,47,497,1,0.050522648083623695,0.08188153310104529,0.8658536585365854,0.0017421602787456446
near_600,38,0,82,146,0.14285714285714285,0.0,0.3082706766917293,0.5488721804511278
