state_id,anchor_id,segment_id,decision_index,soc,soc_regime,load_regime,transition_regime,previous_fc_kw,previous_batt_kw,current_load_kw,previous_load_kw,load_delta_kw,mean_load_10s_kw,mean_load_60s_kw,action_id,action_name,solved,solver_status,solve_ms,p_fc0_kw,p_batt0_kw,soc1,p_fc_trajectory_kw,p_batt_trajectory_kw,soc_trajectory,common_reward,common_cost,h2_objective_component,battery_objective_component,soc_deadband_objective_component,fc_variation_objective_component,weighted_h2,weighted_batt,weighted_soc,weighted_fcvar,mpc_weighted_total_objective,winner_action_id,winner_action_name,best_common_reward,second_best_common_reward,absolute_common_cost_gap,relative_common_cost_gap,near_tie_le_1pct,near_tie_le_5pct
1,0,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,0,balanced,True,solved,3.883900004439056,600.0000000000429,76.18106858262023,0.44996622001931424,"[600.0000000000429, 600.000000000039, 600.0000000000335, 600.0000000000265, 600.0000000000184, 600.0000000000189]","[76.18106858262023, 76.18106862286861, 76.18106868141993, 76.1810687556536, 76.18106884227238, 76.18106893744083]","[0.45000006626601896, 0.44996622001931424, 0.44993236790282765, 0.44989850724730673, 0.4498646357656289, 0.44983075165156783, 0.44979685365684713]",-12.272181771310951,12.272181771310951,6.0,0.08942855081851758,6.028468251413357,3.283961333514187e-24,1.2000000000000002,0.04471427540925879,241.13873005653429,5.2543381336226994e-23,242.38344433194354,0.0,balanced,-12.272181771310951,-12.272237868210086,5.6096899134772116e-05,4.571061623770235e-06,True,True
1,0,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,1,hydrogen_economy,True,solved,1.6699999978300184,599.8571614524833,76.32390758102979,0.4499660245522573,"[599.8571614524833, 599.6868579315135, 599.5095767433326, 599.3458175474724, 599.2160971382926, 599.140954227894]","[76.32390758102979, 76.49421110231052, 76.67149229094233, 76.83525148737357, 76.96497189721897, 77.04011480834879]","[0.45000000032535875, 0.4499660245522573, 0.4499319729385898, 0.44989784236509467, 0.4498636388399447, 0.44982937750686064, 0.4497950826552486]",-12.272406935912583,12.272406935912583,5.993805178978924,0.0907032354091512,6.028684811965702,5.647815772603227e-05,2.39752207159157,0.0226758088522878,48.229478495725616,0.00045182526180825817,50.65012820143128,0.0,balanced,-12.272181771310951,-12.272237868210086,5.6096899134772116e-05,4.571061623770235e-06,True,True
1,0,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,2,fc_smoothing,True,solved,2.4234000011347234,600.0000000000024,76.18106898066175,0.4499660991724767,"[600.0000000000024, 600.0000000000022, 600.000000000002, 600.0000000000016, 600.0000000000013, 600.0000000000008]","[76.18106898066175, 76.18106898565142, 76.18106899291034, 76.18106900211423, 76.18106901285414, 76.18106902465583]","[0.45000000584268884, 0.4499660991724767, 0.44993219198480616, 0.4498982840443233, 0.4498643751493321, 0.44983046514052016, 0.4497965539077733]",-12.272239817114524,12.272239817114524,6.0,0.08942855143542745,6.028523071954655,6.949352691920838e-24,1.5,0.044714275717713726,180.85569215863967,2.779741076768335e-22,182.4004064343574,0.0,balanced,-12.272181771310951,-12.272237868210086,5.6096899134772116e-05,4.571061623770235e-06,True,True
1,0,train_parent_013_02,4451,0.45,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,3,soc_protection,True,solved,9.776000006240793,600.0000000102814,76.18106899251991,0.4499661032299473,"[600.0000000102814, 600.0000000087068, 600.0000000070582, 600.0000000053486, 600.0000000035919, 600.0000000036033]","[76.18106899251991, 76.18106899932539, 76.18106900645832, 76.18106901385653, 76.1810690214572, 76.18106902739422]","[0.4500000078714268, 0.4499661032299473, 0.4499321973844933, 0.4498982902766962, 0.44986438185949995, 0.44983047209727056, 0.44979656096590537]",-12.272237868210086,12.272237868210086,6.0,0.08942855145975206,6.028521611641066,4.9600008506560476e-20,0.8999999999999999,0.07154284116780166,723.4225933969279,3.968000680524838e-19,724.3941362380957,0.0,balanced,-12.272181771310951,-12.272237868210086,5.6096899134772116e-05,4.571061623770235e-06,True,True
2,0,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,0,balanced,True,solved,3.7354999949457124,600.0000000000086,76.18106894515016,0.4899661142775928,"[600.0000000000086, 600.000000000008, 600.0000000000068, 600.0000000000055, 600.0000000000056, 599.9970459635169]","[76.18106894515016, 76.18106895328572, 76.1810689651213, 76.18106898012698, 76.18106899763454, 76.1840230533649]","[0.49000001339523896, 0.4899661142775928, 0.48993221397345355, 0.4898983119432485, 0.48986440772463025, 0.48983050095244973, 0.48979659005933474]",-0.7392204443340442,0.7392204443340442,5.999994357304348,0.0894297073120388,0.24573671833219782,3.787470302155715e-09,1.1999988714608696,0.0447148536560194,9.829468733287912,6.059952483449144e-08,11.074182519004326,3.0,soc_protection,-0.739085154645871,-0.7392204443340442,0.0001352896881732235,0.0001830502037861211,True,True
2,0,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,1,hydrogen_economy,True,solved,1.4974999940022826,599.5135644782229,76.66750455807242,0.48996587107859235,"[599.5135644782229, 599.0980434955432, 598.7574573569372, 598.4958578044104, 598.3173290179697, 598.2259886095569]","[76.66750455807242, 77.08302554081496, 77.42361167951213, 77.68521123215434, 77.86374001872959, 77.95508042729013]","[0.49000000006577366, 0.48996587107859235, 0.48993155711363895, 0.48989709152601146, 0.48986250947484666, 0.4898278479378584, 0.48979314572629684]",-0.7411419702240971,0.7411419702240971,5.985502879019538,0.09242702001536277,0.2458189243554605,0.0002751415128076741,2.3942011516078154,0.02310675500384069,1.966551394843684,0.002201132102461393,4.386060433557802,3.0,soc_protection,-0.739085154645871,-0.7392204443340442,0.0001352896881732235,0.0001830502037861211,True,True
2,0,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,2,fc_smoothing,True,solved,2.2539000055985525,600.0000000000007,76.18106902561192,0.48996608984913703,"[600.0000000000007, 600.0000000000016, 599.9988201765575, 599.9932632391996, 599.9864369701324, 599.9814594855638]","[76.18106902561192, 76.18106902661957, 76.18224885153252, 76.18780579075182, 76.19463206199052, 76.19960954894472]","[0.490000001181029, 0.48996608984913703, 0.48993217841265024, 0.48989826629878797, 0.4898643515182768, 0.48983043347386007, 0.48979651296627635]",-0.7392227974279038,0.7392227974279038,5.99992355515592,0.08944421278579961,0.245739203729004,4.498473878759141e-08,1.49998088878898,0.04472210639289981,7.372176111870121,1.7993895515036564e-06,8.916880906441552,3.0,soc_protection,-0.739085154645871,-0.7392204443340442,0.0001352896881732235,0.0001830502037861211,True,True
2,0,train_parent_013_02,4451,0.49,below_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,3,soc_protection,True,solved,7.98959999519866,600.0000000009347,76.18106592654343,0.4899675188793073,"[600.0000000009347, 600.000000000852, 600.0000000007315, 600.0000000005788, 600.0000000004006, 600.0000000004086]","[76.18106592654343, 76.1810662022584, 76.18106660325203, 76.18106711150601, 76.18106770440814, 76.18106835557428]","[0.4900007156954243, 0.4899675188793073, 0.48993425862290824, 0.4899009061003761, 0.4898674366317426, 0.48983383074000175, 0.48980007497203226]",-0.739085154645871,0.739085154645871,6.0,0.08942854670255598,0.24560793316472843,3.150247152184011e-22,0.8999999999999999,0.0715428373620448,29.472951979767412,2.520197721747209e-21,30.444494817129456,3.0,soc_protection,-0.739085154645871,-0.7392204443340442,0.0001352896881732235,0.0001830502037861211,True,True
3,0,train_parent_013_02,4451,0.5,inside_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,0,balanced,True,solved,3.1447999936062843,599.9228853724006,76.2581836633837,0.4999660535138761,"[599.9228853724006, 599.8584432494091, 599.8066957787777, 599.7677024504103, 599.7415601318371, 599.7284031050948]","[76.2581836633837, 76.32262578648327, 76.37437325727151, 76.41336658583793, 76.43950890464313, 76.45266593164061]","[0.5000000001774472, 0.4999660535138761, 0.4999320781477988, 0.499898079723176, 0.49986406391145, 0.4998300364284577, 0.49979600305130695]",-0.2559943063541283,0.2559943063541283,5.997756978125811,0.089888719170269,4.205379026090108e-05,6.577370474099176e-06,1.1995513956251622,0.0449443595851345,0.0016821516104360433,0.00010523792758558681,1.2462831447483183,3.0,soc_protection,-0.2559674175354323,-0.25597187235232916,4.45481689687055e-06,1.7403843581982042e-05,True,True
3,0,train_parent_013_02,4451,0.5,inside_soft_range,load_high,rapid_fall,600.0000000001289,76.18106903687112,676.181069037,677.874662963,-1.6935939259999486,682.4617097037001,676.283539773333,1,hydrogen_economy,True,solved,1.1815000034403056,599.427665234658,76.75340380233285,0.49996583271017614,"[599.427665234658, 598.9508398865507, 598.5694275103386, 598.2833678686453, 598.0926369878894, 597.9972472049733]","[76.75340380233285, 77.23022915044089, 77.61164152665434, 77.89770116834919, 78.08843204910686, 78.1838218320249]","[0.5000000000008774, 0.49996583271017614, 0.49993145315740123, 0.4998969038162407, 0.4998622271335722, 0.4998274655456078, 0.49979266149405893]",-0.25862760885095154,0.25862760885095154,5.983427734949783,0.09286069314441232,4.329346126076797e-05,0.00035925021495505986,2.3933710939799133,0.02321517328610308,0.00034634769008614377,0.002874001719640479,2.4198066166757433,3.0,soc_protection,-0.2559674175354323,-0.25597187235232916,4.45481689687055e-06,1.7403843581982042e-05,True,True
