pair,left_action_id,right_action_id,state_count,abs_delta_p_fc0_mean_kw,abs_delta_p_fc0_median_kw,abs_delta_p_fc0_p90_kw,abs_delta_p_fc0_max_kw,abs_delta_p_batt0_mean_kw,abs_delta_p_batt0_median_kw,abs_delta_p_batt0_p90_kw,abs_delta_p_batt0_max_kw,abs_delta_soc1_mean,abs_delta_soc1_median,abs_delta_soc1_p90,abs_delta_soc1_max,fc_trajectory_rms_mean_kw,fc_trajectory_rms_median_kw,fc_trajectory_rms_p90_kw,fc_trajectory_rms_max_kw,batt_trajectory_rms_mean_kw,batt_trajectory_rms_median_kw,batt_trajectory_rms_p90_kw,batt_trajectory_rms_max_kw,share_abs_delta_p_fc0_gt_1kw,share_abs_delta_p_fc0_gt_5kw,share_abs_delta_p_fc0_gt_10kw,potentially_redundant_pair
A0-A1,0,1,840,0.4593448776886273,0.43994436641864354,0.5877594086203203,1.103543650257393,0.459345006061758,0.43994436641865775,0.5877594972387371,1.103544098221434,2.420542419638638e-07,2.0507907294575745e-07,2.8758658992544814e-07,6.223838537877668e-07,1.1717279357555348,1.1766746876869827,1.5097574550977637,2.6385811625284963,1.1717280137096144,1.1766746876870253,1.5097575034208028,2.638581411696801,0.09761904761904762,0.0,0.0,False
A0-A2,0,2,840,0.2599429527012633,0.13543094999238292,0.7846994656992934,0.9523341078834733,0.2599430832634139,0.13543102757407155,0.7846998612084718,0.952334506952127,1.5596693029445996e-07,8.085677238867106e-08,4.695009678035156e-07,5.452063075450653e-07,0.5967549897957504,0.34666384971608466,1.735027065317419,2.1802338751354577,0.5967550654983291,0.34666385029367497,1.7350272902154642,2.1802340998139225,0.0,0.0,0.0,False
A0-A3,0,3,840,1.6268856853131541,0.5173184154545822,5.303054568182387,6.2520461454519705,1.6268864546685704,0.5173184154544117,5.30305413123513,6.252045704431453,1.0988494562880863e-06,1.4030522641483856e-06,2.2639645528843566e-06,2.657394983063277e-06,3.5992136412813363,1.2812860121096836,11.574802631586518,14.081365868963168,3.599214018525922,1.2812860121095944,11.574802381032004,14.081365618231446,0.3678571428571429,0.20476190476190476,0.0,False
A1-A2,1,2,840,0.5180375458811439,0.5375721851957564,0.6355285322441319,0.7424505995836057,0.5180375458838381,0.5375721851958843,0.635528522460777,0.7424505465544087,2.3060826107649892e-07,2.3941425122964155e-07,2.7889791720525636e-07,3.194310934651057e-07,1.393885562140087,1.4382296259197846,1.6774477897680389,1.9328758581804677,1.3938855619423174,1.4382296116282927,1.677447786742872,1.9328758293240547,0.0,0.0,0.0,False
A1-A3,1,3,840,1.871905493198586,0.5841142971094655,5.961507802979719,7.336670847022219,1.8719063505996236,0.5841158223323077,5.961507818462155,7.336670861154801,1.241227614972941e-06,1.6450532590861489e-06,2.661904061967979e-06,3.2734613609197716e-06,4.181831485538579,1.5308297301977842,13.036113917957048,16.665393092467443,4.181831977226234,1.5308297525489376,13.036113925474675,16.66539309922124,0.4011904761904762,0.2357142857142857,0.0,False
A2-A3,2,3,840,1.8732619667830628,0.6646868158707946,6.073754588630561,7.193033719862456,1.873262836287818,0.664686815870553,6.0737545646226465,7.193033680608153,1.239323111685128e-06,1.4269916115972059e-06,2.70693717229209e-06,3.1983698448589948e-06,4.154762673591274,1.7043200466369206,13.276256867514855,16.229538403783778,4.154763125137145,1.7043200466366843,13.276256851432173,16.229538380319653,0.41785714285714287,0.2392857142857143,0.0,False
