window_id,segment_id,window_regime,window_start_index,window_steps_requested,initial_soc,window_mean_load_kw,window_max_load_kw,window_mean_abs_delta_kw,action_id,action_name,completed,steps,mpc_solves,hydrogen_kg,battery_throughput_kwh,fc_total_variation_kw,min_soc,final_soc,mean_fc_kw,peak_battery_discharge_kw,last_solver_status
window_01,train_parent_020_04,low_load_stable,330,300,0.55,62.389772669257,79.12881,0.10491601560668899,0,balanced,True,300,300,0.2468129234537762,0.3486656821651968,37.28069973563174,0.5496861847069324,0.5496861847069324,59.9786765881021,18.906549735631742,solved
window_01,train_parent_020_04,low_load_stable,330,300,0.55,62.389772669257,79.12881,0.10491601560668899,1,hydrogen_economy,True,300,300,0.08802674239247033,3.4063020301754583,79.12881000000002,0.5445411826439495,0.5445411826439495,21.452901140484826,60.75466,solved
window_01,train_parent_020_04,low_load_stable,330,300,0.55,62.389772669257,79.12881,0.10491601560668899,2,fc_smoothing,True,300,300,0.2849298963675562,0.5665291985153729,20.048934536273826,0.55,0.5509034721954577,69.09372530218063,1.674784536273826,solved
window_01,train_parent_020_04,low_load_stable,330,300,0.55,62.389772669257,79.12881,0.10491601560668899,3,soc_protection,True,300,300,0.21894038337049695,0.7728271924762672,47.050173355539144,0.5487917219451618,0.5487917219451618,53.28093942795899,28.676023355539144,solved
window_02,train_parent_015_02,medium_load_stable,6120,300,0.55,281.58077272982666,349.3602,1.5621324320066894,0,balanced,True,300,300,1.413011177454285,3.5705922720746788,56.35331483526113,0.5497543115846836,0.5551841555309869,320.1316296791855,19.198818809974,solved
window_02,train_parent_015_02,medium_load_stable,6120,300,0.55,281.58077272982666,349.3602,1.5621324320066894,1,hydrogen_economy,True,300,300,1.1441694684423125,4.83846306820883,162.99999162597274,0.5475044337737629,0.5475044337737629,262.6258731610997,82.57009162597276,solved
window_02,train_parent_015_02,medium_load_stable,6120,300,0.55,281.58077272982666,349.3602,1.5621324320066894,2,fc_smoothing,True,300,300,1.4771300981362026,4.4578275172451125,28.85131499981071,0.5499995814447425,0.5569766213535047,333.5536137582001,10.993535983135132,solved
window_02,train_parent_015_02,medium_load_stable,6120,300,0.55,281.58077272982666,349.3602,1.5621324320066894,3,soc_protection,True,300,300,1.334323867030769,3.155022008007162,87.72925763116609,0.5495476901917764,0.5529584148669379,303.4652835867884,26.79436705638011,solved
window_03,train_parent_013_02,high_load,390,300,0.55,692.7985411666634,709.386837926,0.317933571658864,0,balanced,True,300,300,2.7969013579738897,8.41933988388896,15.697568041450268,0.5365074681347934,0.5365074681347934,591.8091502266626,125.14796804145021,solved
window_03,train_parent_013_02,high_load,390,300,0.55,692.7985411666634,709.386837926,0.317933571658864,1,hydrogen_economy,True,300,300,2.4529425484443186,13.821029742168097,136.42422199196767,0.5278509138747308,0.5278509138747308,526.9888719273127,245.87462199196762,solved
window_03,train_parent_013_02,high_load,390,300,0.55,692.7985411666634,709.386837926,0.317933571658864,2,fc_smoothing,True,300,300,2.809446636598694,8.2259519918139,11.54918079017898,0.5368173846285028,0.5368173846285028,594.1298049315632,120.99958079017892,solved
window_03,train_parent_013_02,high_load,390,300,0.55,692.7985411666634,709.386837926,0.317933571658864,3,soc_protection,True,300,300,2.841252145064506,7.736778192398637,0.05067800445431203,0.537601316999361,0.537601316999361,599.9998905245463,109.45039999999972,solved
window_04,train_parent_031_03,rapid_load_rise,0,300,0.55,484.356946548053,660.6247,2.047969173240802,0,balanced,True,300,300,0.4407488353772334,31.720478912738333,89.36237651995535,0.49916589917830334,0.49916589917830334,105.5746178618598,542.2193421112848,solved
window_04,train_parent_031_03,rapid_load_rise,0,300,0.55,484.356946548053,660.6247,2.047969173240802,1,hydrogen_economy,True,300,300,0.224772430355838,35.95916602457843,62.66812892062984,0.4923731313708675,0.4923731313708675,54.71037251977876,601.9833104166826,solved
window_04,train_parent_031_03,rapid_load_rise,0,300,0.55,484.356946548053,660.6247,2.047969173240802,2,fc_smoothing,True,300,300,0.3598986524686975,33.28352198961611,35.420072599350476,0.49666102245253874,0.49666102245253874,86.81810093932609,561.503935056263,solved
window_04,train_parent_031_03,rapid_load_rise,0,300,0.55,484.356946548053,660.6247,2.047969173240802,3,soc_protection,True,300,300,0.7737875444381155,25.52735463545952,263.50346411987044,0.5090907778277898,0.5090907778277898,179.89210918920543,479.9236585103554,solved
window_05,train_parent_031_03,rapid_load_fluctuation,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,0,balanced,True,300,300,2.7216292522389516,7.628936054186475,62.19389743945055,0.5466923263015687,0.5555751962190423,577.7983467196013,105.62287761287041,solved
window_05,train_parent_031_03,rapid_load_fluctuation,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,1,hydrogen_economy,True,300,300,2.381785821219185,8.179853674760697,182.1161090234661,0.5429647858163436,0.546948447785348,513.2012544481059,160.04208843226104,solved
window_05,train_parent_031_03,rapid_load_fluctuation,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,2,fc_smoothing,True,300,300,2.777502943468787,8.244537115403524,31.299552417947666,0.5468765976844066,0.5569655945922165,588.2096497379395,100.34264835278293,solved
window_05,train_parent_031_03,rapid_load_fluctuation,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,3,soc_protection,True,300,300,2.6882027263684187,7.105942697102729,111.35872508385819,0.5468279708809957,0.5547301383574162,571.4705534517501,100.18611233726108,solved
window_06,train_parent_031_03,rapid_load_fall,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,0,balanced,True,300,300,2.7216292522389516,7.628936054186475,62.19389743945055,0.5466923263015687,0.5555751962190423,577.7983467196013,105.62287761287041,solved
window_06,train_parent_031_03,rapid_load_fall,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,1,hydrogen_economy,True,300,300,2.381785821219185,8.179853674760697,182.1161090234661,0.5429647858163436,0.546948447785348,513.2012544481059,160.04208843226104,solved
window_06,train_parent_031_03,rapid_load_fall,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,2,fc_smoothing,True,300,300,2.777502943468787,8.244537115403524,31.299552417947666,0.5468765976844066,0.5569655945922165,588.2096497379395,100.34264835278293,solved
window_06,train_parent_031_03,rapid_load_fall,720,300,0.55,537.9548940980825,693.2423,3.7385253685294315,3,soc_protection,True,300,300,2.6882027263684187,7.105942697102729,111.35872508385819,0.5468279708809957,0.5547301383574162,571.4705534517501,100.18611233726108,solved
window_07,train_parent_015_02,soc_low_counterfactual,6120,300,0.45,281.58077272982666,349.3602,1.5621324320066894,0,balanced,True,300,300,2.061535143911124,14.152041241624863,164.3250856723077,0.45,0.4726795532718346,451.1371679626584,0.0,solved
window_07,train_parent_015_02,soc_low_counterfactual,6120,300,0.45,281.58077272982666,349.3602,1.5621324320066894,1,hydrogen_economy,True,300,300,1.4032295690350003,3.4334336336095874,62.360929612062876,0.4497233691571187,0.45490880238679826,318.0697853355057,20.131761089723682,solved
window_07,train_parent_015_02,soc_low_counterfactual,6120,300,0.45,281.58077272982666,349.3602,1.5621324320066894,2,fc_smoothing,True,300,300,1.691930260189842,8.030916102870346,52.31963497676668,0.45,0.46287005785716406,377.68366629760413,0.0,solved
window_07,train_parent_015_02,soc_low_counterfactual,6120,300,0.45,281.58077272982666,349.3602,1.5621324320066894,3,soc_protection,True,300,300,2.7469563861615325,25.057439443501107,254.11779730741824,0.45,0.49015615295432874,582.0019463851734,0.0,solved
