parent,split,side,boundary_kind,left_timestamp,left_load_kw,right_timestamp,right_load_kw,original_boundary_load_kw,canonical_boundary_load_kw,crossing_fraction,unrounded_boundary_timestamp,rounded_boundary_timestamp,rounding_adjustment_seconds,removed_point_count,removed_duration_s,sustained_block_start_timestamp,sustained_block_end_timestamp
3月26日14_00_3月26日16_00,test,start,OBSERVED_DEADBAND,2024-03-26T14:00:27+08:00,-0.09105199999999998,2024-03-26T14:01:27+08:00,3.4199770000000003,-0.09105099999999998,0.0,,2024-03-26T14:00:57+08:00,2024-03-26T14:00:57+08:00,0.0,1,30.0,2024-03-26T14:01:27+08:00,2024-03-26T15:57:57+08:00
3月26日14_00_3月26日16_00,test,end,CONSTRUCTED_CROSSING,2024-03-26T15:57:57+08:00,19.677602,2024-03-26T15:58:27+08:00,-14.893908,,0.0,0.5691854940672246,2024-03-26T15:58:14.075564+08:00,2024-03-26T15:58:14+08:00,-0.07556399999999996,4,120.0,2024-03-26T14:01:27+08:00,2024-03-26T15:57:57+08:00
3月27日07_00_3月27日11_00,train,start,OBSERVED_DEADBAND,2024-03-27T07:30:59+08:00,0.7508379999999999,2024-03-27T07:31:59+08:00,2.27541586937742,0.9574620000000005,0.0,,2024-03-27T07:31:29+08:00,2024-03-27T07:31:29+08:00,0.0,62,1860.0,2024-03-27T07:31:59+08:00,2024-03-27T10:53:59+08:00
3月27日07_00_3月27日11_00,train,end,CONSTRUCTED_CROSSING,2024-03-27T10:53:59+08:00,30.847717,2024-03-27T10:54:29+08:00,-20.798796,,0.0,0.5972855708574168,2024-03-27T10:54:16.918567+08:00,2024-03-27T10:54:17+08:00,0.081433,12,360.0,2024-03-27T07:31:59+08:00,2024-03-27T10:53:59+08:00
3月29日08_00_3月29日15_00,test,start,OBSERVED_DEADBAND,2024-03-29T08:36:35+08:00,-0.08108499999999996,2024-03-29T08:37:35+08:00,3.2355129999999996,-0.07995999999999996,0.0,,2024-03-29T08:37:05+08:00,2024-03-29T08:37:05+08:00,0.0,74,2220.0,2024-03-29T08:37:35+08:00,2024-03-29T14:34:35+08:00
3月29日08_00_3月29日15_00,test,end,OBSERVED_DEADBAND,2024-03-29T14:34:35+08:00,23.374473,2024-03-29T14:35:35+08:00,-12.995231,-0.009648999999999987,0.0,,2024-03-29T14:35:05+08:00,2024-03-29T14:35:05+08:00,0.0,49,1470.0,2024-03-29T08:37:35+08:00,2024-03-29T14:34:35+08:00
4月2日14_00_4月2日17_00,validation,start,OBSERVED_DEADBAND,2024-04-02T14:20:43+08:00,-0.06969199999999996,2024-04-02T14:21:43+08:00,1.5529870000000006,-0.06912999999999997,0.0,,2024-04-02T14:21:13+08:00,2024-04-02T14:21:13+08:00,0.0,42,1260.0,2024-04-02T14:21:43+08:00,2024-04-02T16:22:13+08:00
4月2日14_00_4月2日17_00,validation,end,CONSTRUCTED_CROSSING,2024-04-02T16:22:13+08:00,21.374843,2024-04-02T16:22:43+08:00,-1.8460320000000001,,0.0,0.9205011869707752,2024-04-02T16:22:40.615035+08:00,2024-04-02T16:22:41+08:00,0.384965,75,2250.0,2024-04-02T14:21:43+08:00,2024-04-02T16:22:13+08:00
4月3日08_00_4月3日11_00,train,start,OBSERVED_DEADBAND,2024-04-03T08:20:14+08:00,-0.07086999999999996,2024-04-03T08:21:14+08:00,1.4885299701986758,0.16802900000000057,0.0,,2024-04-03T08:20:44+08:00,2024-04-03T08:20:44+08:00,0.0,41,1230.0,2024-04-03T08:21:14+08:00,2024-04-03T10:54:45+08:00
4月3日08_00_4月3日11_00,train,end,CONSTRUCTED_CROSSING,2024-04-03T10:54:45+08:00,17.919057000000002,2024-04-03T10:55:15+08:00,-14.2983,,0.0,0.5561926448528972,2024-04-03T10:55:01.685779+08:00,2024-04-03T10:55:02+08:00,0.314221,10,300.0,2024-04-03T08:21:14+08:00,2024-04-03T10:54:45+08:00
