parent,start_time,end_time,duration_s,point_count,exclusion_reason
4月3日08_00_4月3日11_00,2024-04-03 09:51:14,2024-04-03 10:54:44,3840,128,quality_cut_without_natural_transition
4月3日08_00_4月3日11_00,2024-04-03 10:55:14,2024-04-03 10:59:44,300,10,confirmed_shore
4月7日08_00_4月7日12_00,2024-04-07 08:00:24,2024-04-07 08:47:54,2880,96,stationary_only_without_sailing_task
4月7日08_00_4月7日12_00,2024-04-07 08:53:54,2024-04-07 10:08:54,4530,151,quality_cut_without_natural_transition
4月7日08_00_4月7日12_00,2024-04-07 10:09:24,2024-04-07 10:12:24,210,7,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 10:12:54,2024-04-07 10:18:54,390,13,insufficient_continuous_operation_duration
4月7日08_00_4月7日12_00,2024-04-07 10:19:24,2024-04-07 10:23:54,300,10,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 10:24:24,2024-04-07 10:32:54,540,18,insufficient_continuous_operation_duration
4月7日08_00_4月7日12_00,2024-04-07 10:33:24,2024-04-07 10:38:24,330,11,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 10:38:54,2024-04-07 10:38:54,30,1,stationary_only_without_sailing_task
4月7日08_00_4月7日12_00,2024-04-07 10:39:24,2024-04-07 10:39:24,30,1,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 10:39:54,2024-04-07 10:44:54,330,11,insufficient_continuous_operation_duration
4月7日08_00_4月7日12_00,2024-04-07 10:45:24,2024-04-07 10:52:24,450,15,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 10:52:54,2024-04-07 11:01:54,570,19,insufficient_continuous_operation_duration
4月7日08_00_4月7日12_00,2024-04-07 11:02:24,2024-04-07 11:03:54,120,4,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 11:04:24,2024-04-07 11:14:54,660,22,quality_cut_without_natural_transition
4月7日08_00_4月7日12_00,2024-04-07 11:15:24,2024-04-07 11:17:54,180,6,ambiguous_external_supply
4月7日08_00_4月7日12_00,2024-04-07 11:18:24,2024-04-07 11:58:24,2430,81,quality_cut_without_natural_transition
4月7日08_00_4月7日12_00,2024-04-07 11:58:54,2024-04-07 11:59:24,60,2,long_stop_dwell_core
4月8日08_00_4月8日12_00,2024-04-08 08:00:26,2024-04-08 08:40:26,2430,81,stationary_only_without_sailing_task
4月8日08_00_4月8日12_00,2024-04-08 08:45:56,2024-04-08 08:50:26,300,10,long_stop_dwell_core
4月8日08_00_4月8日12_00,2024-04-08 11:40:26,2024-04-08 11:59:56,1200,40,confirmed_shore
4月9日08_00_4月9日11_00,2024-04-09 08:00:28,2024-04-09 08:10:58,660,22,stationary_only_without_sailing_task
4月9日08_00_4月9日11_00,2024-04-09 10:32:28,2024-04-09 10:35:58,240,8,long_stop_dwell_core
4月9日08_00_4月9日11_00,2024-04-09 10:36:28,2024-04-09 10:59:58,1440,48,confirmed_shore
4月12日08_00_4月12日16_00,2024-04-12 08:00:03,2024-04-12 08:54:03,3270,109,stationary_only_without_sailing_task
4月12日08_00_4月12日16_00,2024-04-12 09:00:03,2024-04-12 10:55:03,6930,231,quality_cut_without_natural_transition
