parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
4月12日08_00_4月12日16_00,2024-04-12 15:11:03,2024-04-12 15:12:33,120,True,False,False
4月12日08_00_4月12日16_00,2024-04-12 15:18:33,2024-04-12 15:59:33,2490,False,False,False
4月15日08_00_4月15日17_00,2024-04-15 08:00:08,2024-04-15 08:11:08,690,False,False,False
4月15日08_00_4月15日17_00,2024-04-15 08:17:38,2024-04-15 08:17:38,30,False,True,False
4月15日08_00_4月15日17_00,2024-04-15 09:41:08,2024-04-15 09:46:08,330,True,True,True
4月15日08_00_4月15日17_00,2024-04-15 10:44:08,2024-04-15 13:38:08,10470,True,False,False
4月15日08_00_4月15日17_00,2024-04-15 13:44:38,2024-04-15 14:36:38,3150,False,False,False
4月15日08_00_4月15日17_00,2024-04-15 14:42:38,2024-04-15 14:44:08,120,False,True,False
4月15日08_00_4月15日17_00,2024-04-15 14:52:38,2024-04-15 15:18:08,1560,True,True,True
4月15日08_00_4月15日17_00,2024-04-15 16:31:39,2024-04-15 16:34:09,180,True,True,True
4月15日08_00_4月15日17_00,2024-04-15 16:40:39,2024-04-15 16:59:39,1170,True,False,False
4月16日08_00_4月16日19_00,2024-04-16 08:00:10,2024-04-16 08:20:40,1260,False,False,False
4月16日08_00_4月16日19_00,2024-04-16 08:26:40,2024-04-16 08:27:40,90,False,True,False
4月16日08_00_4月16日19_00,2024-04-16 08:38:40,2024-04-16 09:04:10,1560,True,True,True
4月16日08_00_4月16日19_00,2024-04-16 11:01:10,2024-04-16 11:17:40,1020,True,True,True
4月16日08_00_4月16日19_00,2024-04-16 11:22:40,2024-04-16 12:56:40,5670,True,False,False
4月16日08_00_4月16日19_00,2024-04-16 13:03:10,2024-04-16 14:22:40,4800,False,False,False
4月16日08_00_4月16日19_00,2024-04-16 14:35:40,2024-04-16 15:10:10,2100,True,True,True
4月16日08_00_4月16日19_00,2024-04-16 16:59:10,2024-04-16 17:07:40,540,True,True,True
4月16日08_00_4月16日19_00,2024-04-16 18:42:40,2024-04-16 18:59:40,1050,True,False,False
4月17日07_00_4月17日17_00,2024-04-17 09:00:11,2024-04-17 09:45:11,2730,False,False,False
4月17日07_00_4月17日17_00,2024-04-17 09:51:41,2024-04-17 09:52:41,90,False,True,False
4月17日07_00_4月17日17_00,2024-04-17 11:56:11,2024-04-17 14:03:11,7650,True,True,True
4月17日07_00_4月17日17_00,2024-04-17 16:04:11,2024-04-17 16:59:41,3360,True,False,False
4月18日12_00_4月18日18_00,2024-04-18 12:00:13,2024-04-18 12:12:13,750,False,False,False
4月18日12_00_4月18日18_00,2024-04-18 12:25:43,2024-04-18 13:10:13,2700,True,True,True
4月18日12_00_4月18日18_00,2024-04-18 15:02:13,2024-04-18 15:10:13,510,True,True,True
4月18日12_00_4月18日18_00,2024-04-18 17:05:13,2024-04-18 17:59:43,3300,True,False,False
4月21日08_00_4月21日16_00,2024-04-21 08:00:18,2024-04-21 08:18:48,1140,False,False,False
