epoch,train_loss,val_loss,val_MAE,val_RMSE,val_MAPE,val_sMAPE,val_bias,val_h1_MAE,val_h1_bias,val_h3_MAE,val_h3_bias,val_h6_MAE,val_h6_bias,val_top10_load_bias,val_peak_underestimation_ratio,val_ramp_RMSE,val_count_h1,val_RMSE_h1,val_MAE_h1,val_WAPE_h1,val_Bias_h1,val_under_prediction_rate_h1,val_over_prediction_rate_h1,val_count_h2,val_RMSE_h2,val_MAE_h2,val_WAPE_h2,val_Bias_h2,val_under_prediction_rate_h2,val_over_prediction_rate_h2,val_count_h3,val_RMSE_h3,val_MAE_h3,val_WAPE_h3,val_Bias_h3,val_under_prediction_rate_h3,val_over_prediction_rate_h3,val_count_h4,val_RMSE_h4,val_MAE_h4,val_WAPE_h4,val_Bias_h4,val_under_prediction_rate_h4,val_over_prediction_rate_h4,val_count_h5,val_RMSE_h5,val_MAE_h5,val_WAPE_h5,val_Bias_h5,val_under_prediction_rate_h5,val_over_prediction_rate_h5,val_count_h6,val_RMSE_h6,val_MAE_h6,val_WAPE_h6,val_Bias_h6,val_under_prediction_rate_h6,val_over_prediction_rate_h6,val_weighted_MAE_h1_h3
1,0.018500066893234565,0.011681380681693554,24.379467376380237,60.856786434645315,88.35489951248934,33.28532920616106,4.8099960987919355,13.944232537189311,3.8040621185140058,23.06554743958813,4.739792855310944,33.43478018409875,6.056168473821277,-11.818912918282452,0.46225871506770383,41.10099444943224,11563,34.02845256226381,13.944232537189311,6.703581534082306,3.8040621185140058,0.4908760702239903,0.5091239297760097,11563,47.82557730101405,18.967538705557665,9.117900662466523,3.9003189835540906,0.5010810343336505,0.4989189656663496,11563,57.02182257370726,23.06554743958813,11.087242053944903,4.739792855310944,0.487676208596385,0.512323791403615,11563,64.99031160039061,26.708277549678847,12.837665836605758,5.023424070737735,0.48992476001037794,0.5100752399896221,11563,71.91430191936163,30.15642784216873,14.494565036115374,5.336210090813556,0.4397647669289977,0.5602352330710023,11563,78.28903902119605,33.43478018409875,16.069870876458143,6.056168473821277,0.4500562137853498,0.5499437862146502,17.275487368179583
2,0.012516751943251036,0.012923416681587696,27.143049718146617,62.81740282910369,88.64793531348366,33.50236238359276,10.534538224205834,16.58349923758229,8.609848349638344,25.698130669496603,10.257593529280955,35.885118326422536,11.635495317568617,11.081113788335072,0.20339959665802362,41.305880757970996,11563,35.65977815210958,16.58349923758229,7.972388509947538,8.609848349638344,0.21594741849001126,0.7840525815099888,11563,49.91887765772388,21.893445909981047,10.52441584884179,9.787140750504498,0.23929776009686068,0.7607022399031393,11563,59.00865338081639,25.698130669496603,12.352682970688763,10.257593529280955,0.2497621724465969,0.7502378275534031,11563,67.04771125570319,29.602234987901625,14.228682478100495,11.180616557958729,0.2527025858341261,0.7472974141658739,11563,74.32095039155652,33.195869177495624,15.955460217034279,11.73653484028385,0.26446423938424285,0.7355357606157572,11563,80.07260479807773,35.885118326422536,17.24758514088542,11.635495317568617,0.289630718671625,0.710369281328375,19.99940952568478
3,0.012161897307048274,0.012007120065391064,25.288809295217046,61.60494031248195,87.1741331302412,31.333113620095364,7.948478385350257,15.188910296579364,6.328062405621523,24.39180303982742,8.269545281636553,33.99770232756269,9.45299752946621,1.1333670015344777,0.25885911840968023,41.38774804610088,11563,34.84038587740421,15.188910296579364,7.301950703663864,6.328062405621523,0.40560408198564385,0.5943959180143561,11563,49.069125408735275,20.301505784818048,9.75915304130748,7.293719092513695,0.3518118135431981,0.6481881864568019,11563,58.48760348538539,24.39180303982742,11.724752041677307,8.269545281636553,0.3670327769609963,0.6329672230390038,11563,65.55620421201553,27.241260690213817,13.093850813042582,7.981179893501142,0.3474876762085964,0.6525123237914037,11563,72.41802597782214,30.611673632300953,14.713377083318862,8.365366109362416,0.33771512583239643,0.6622848741676035,11563,78.65490646035056,33.99770232756269,16.34043003997455,9.45299752946621,0.3163538873994638,0.6836461126005362,18.56326749170058
4,0.012006836397585216,0.011362522840499878,24.20647099907635,60.2127962851809,106.74124367940382,33.91607966086575,6.676104728528379,13.227252430984109,4.079651543247075,22.736958837959584,6.216934421275322,33.63896185208621,9.296488293685274,-16.20026842373092,0.5867185249207721,41.408833689434054,11563,32.70980005483456,13.227252430984109,6.358898914408326,4.079651543247075,0.36305457061316265,0.6369454293868373,11563,47.481436206554385,18.848131899132785,9.060500521293465,5.611563636788891,0.37386491394966703,0.626135086050333,11563,56.46392004304157,22.736958837959584,10.929294735678782,6.216934421275322,0.36962725936175733,0.6303727406382427,11563,64.25885159283732,26.429619310944748,12.703725287843993,6.843406055575046,0.36962725936175733,0.6303727406382427,11563,71.304512354825,30.357901663350663,14.591402613148047,8.008584420598662,0.3517253307965061,0.6482746692034939,11563,77.63607059996757,33.63896185208621,16.168007398422148,9.296488293685274,0.3424716769004584,0.6575283230995417,16.81545755282381
5,0.01186325560934889,0.011806868948042393,25.658787023078133,61.250065628306864,143.7779030623156,34.892300354920884,10.179991787815633,15.827616420163672,9.382427221755528,24.139678560775373,9.692383502098432,34.256575285984304,11.113588437216864,-2.3707213318459814,0.2994814174589456,41.519871243352895,11563,34.83901289079709,15.827616420163672,7.609003713884825,9.382427221755528,0.17668425149182737,0.8233157485081726,11563,49.03129368710955,20.902296813367656,10.04795977592146,9.930304345594388,0.2168122459569316,0.7831877540430684,11563,57.61019748340743,24.139678560775373,11.6035598118247,9.692383502098432,0.24137334601746951,0.7586266539825305,11563,65.11549757478942,27.553878945993,13.244114666436,10.027791832795872,0.2556429992216553,0.7443570007783448,11563,72.32098127385966,31.2726761121848,15.03108525100551,10.933455387432698,0.25996713655625703,0.740032863443743,11563,78.11729287482446,34.256575285984304,16.464853020844643,11.113588437216864,0.26273458445040215,0.7372654155495979,19.012432966247207
6,0.01173336222652156,0.011384549550712109,23.96437394363436,60.131338993362064,88.96860355726798,33.48276230404228,6.120811516316918,13.076769472933606,4.189943083400702,22.566163033275927,5.69051156354227,33.07547495853714,7.6149396285230315,-10.681025602650475,0.4242293287237107,41.3097564110063,11563,32.62079481283119,13.076769472933606,6.286555400622892,4.189943083400702,0.3548387096774194,0.6451612903225806,11563,47.2812570724655,18.65425252227345,8.96730061137651,4.99868206399985,0.3764593963504281,0.6235406036495719,11563,56.387993661336274,22.566163033275927,10.847195906969612,5.69051156354227,0.3676381561878405,0.6323618438121594,11563,64.35790043842402,26.331383066687234,12.656506815051227,6.65376861369331,0.3610654674392459,0.6389345325607542,11563,71.41147338234748,30.082200608098834,14.458888016366616,7.577024144742348,0.3457580212747557,0.6542419787252444,11563,77.29094605193822,33.07547495853714,15.897176797172474,7.6149396285230315,0.3507740205828937,0.6492259794171062,16.647893099804023
7,0.011612979553574636,0.01134251058101654,24.142283840971505,59.71068893732396,124.09224828909761,34.30719928144443,6.227886009185836,13.051381015196387,3.429206781414774,22.709872612721394,5.818265893074219,33.463848841779644,8.81204581481485,-14.393395171435953,0.5352924229328724,41.510890406233116,11563,32.54154915659538,13.051381015196387,6.274350096672881,3.429206781414774,0.40984173657355355,0.5901582634264464,11563,46.917109117568536,18.815024631141373,9.044585500086054,4.569488721526569,0.396004497102828,0.603995502897172,11563,56.012870407784355,22.709872612721394,10.916274817711084,5.818265893074219,0.388566980887313,0.611433019112687,11563,63.65097901381333,26.45832153093384,12.717521366917357,6.526482659573462,0.37490270690997146,0.6250972930900286,11563,70.993962489314,30.355254414056375,14.590130223484932,8.211826184711143,0.353973882210499,0.646026117789501,11563,76.83097812788766,33.463848841779644,16.08384224318799,8.81204581481485,0.3446337455677592,0.6553662544322407,16.712172419484883
8,0.011576654339078694,0.011292990297079086,23.921774453013132,59.90806713700694,86.30819323489287,30.597678504317777,7.047668483563669,13.336546945660753,5.554551187578333,22.580998119520466,7.071566918902958,32.91249048837631,7.939730025572586,-12.648471569656252,0.4916450590607894,41.26518304971705,11563,33.38197841677678,13.336546945660753,6.411441403814525,5.554551187578333,0.3314883680705699,0.6685116319294301,11563,47.777944028006516,18.857835546220972,9.065165169226294,6.671480911560243,0.3428176078872265,0.6571823921127735,11563,56.28738993292756,22.580998119520466,10.854326897140782,7.071566918902958,0.3106460261177895,0.6893539738822105,11563,63.94341522688106,26.15146767364359,12.57002824336274,7.458836306025787,0.32422381734843897,0.675776182651561,11563,70.7296728215017,29.6913079446567,14.27100703914823,7.589845551742104,0.334169333218023,0.665830666781977,11563,76.6619422935258,32.91249048837631,15.818841022989691,7.939730025572586,0.34100147020669375,0.6589985297933062,16.84182376060076
9,0.01142765993621663,0.011435914784669876,24.55344939074519,60.40715017888101,120.27836868281945,34.22587837104661,7.784793583047332,13.456557641476019,4.5360529125987545,23.251923517956403,7.492453958168025,33.821674848699914,9.960058182095715,-2.1312270740566928,0.3087006626332469,41.43884798464208,11563,32.959214889548065,13.456557641476019,6.4691356141064125,4.5360529125987545,0.2829715471763383,0.7170284528236617,11563,47.791659362366396,19.177366722367537,9.218767255817099,6.478629381866045,0.2952520972066073,0.7047479027933927,11563,56.9404975222987,23.251923517956403,11.176830072583794,7.492453958168025,0.2917927873389259,0.7082072126610741,11563,64.40554077247211,26.887138564744287,12.923637608403293,8.424830789493859,0.28919830493816484,0.7108016950618352,11563,71.69714613802725,30.72603504922697,14.768344435683408,9.816736274061586,0.2908414771253135,0.7091585228746865,11563,77.4145690489867,33.821674848699914,16.2558253606419,9.960058182095715,0.2977600968606763,0.7022399031393237,17.131873541039553
10,0.011386562400544952,0.012301232665777206,25.20989240958431,59.907677507288334,101.61798366849723,34.119607348749106,4.5047928410326845,14.479444814154025,2.0593131477769298,23.876751730043136,4.282347857630524,34.371981353702736,6.5772874481316785,-35.717764594834314,0.7859406511091904,41.23631634218284,11563,33.525103809068455,14.479444814154025,6.960880681031127,2.0593131477769298,0.35924932975871315,0.6407506702412868,11563,47.6309235758622,19.936492908701585,9.583687410441206,3.5720589466359227,0.3773242238173484,0.6226757761826516,11563,56.38522911798691,23.876751730043136,11.47717506321034,4.282347857630524,0.38398339531263515,0.6160166046873649,11563,63.8884923480503,27.491032707132682,13.21390683996439,5.0257688569049215,0.38510767101963156,0.6148923289803684,11563,70.6908307614321,31.103650943771687,14.949843987646114,5.511980789116129,0.3902966358211537,0.6097033641788463,11563,76.69885532958709,34.371981353702736,16.520321027404982,6.5772874481316785,0.37490270690997146,0.6250972930900286,17.996020625696115
