dataset_version,voyage_id,split,time_original_or_reconstructed,timestamp,time_s,load_total_kw,source_interval_start_time,source_interval_end_time,is_original_30s_point,online_feasible,uses_future_endpoint,file_name
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:30,23.0,1.000701784782365e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:31,24.0,1.0006395263644285e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:32,25.0,1.0005654248656697e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:33,26.0,1.0004789868243869e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:34,27.0,1.0003797187788795e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:35,28.0,1.0002671272674465e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:36,29.0,1.0001407188283869e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,original_30s_point,2024-04-29 08:00:37,30.0,1e-06,2024-04-29T08:00:37,2024-04-29T08:00:37,True,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:38,31.0,9.998449707822856e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:39,32.0,9.996776050220473e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:40,33.0,9.9950037002779e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:41,34.0,9.993157331080186e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:42,35.0,9.991261615712378e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:43,36.0,9.989341227259521e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:44,37.0,9.987420838806664e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:45,38.0,9.985525123438854e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:46,39.0,9.983678754241141e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:47,40.0,9.98190640429857e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:48,41.0,9.980232746696189e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:49,42.0,9.978682454519043e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:50,43.0,9.97728020085218e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:51,44.0,9.97605065878065e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:52,45.0,9.975018501389502e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:53,46.0,9.97420840176378e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:54,47.0,9.973645032988532e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:55,48.0,9.973353068148803e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:56,49.0,9.973357180329646e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:57,50.0,9.973682042616104e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:58,51.0,9.97435232809322e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:59,52.0,9.975392709846054e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:00,53.0,9.976827860959644e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:01,54.0,9.978682454519043e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:02,55.0,9.980981163609292e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:03,56.0,9.983748661315444e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:04,57.0,9.987009620722542e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:05,58.0,9.990788714915637e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:06,59.0,9.995110616979773e-07,2024-04-29T08:00:37,2024-04-29T08:01:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,original_30s_point,2024-04-29 08:01:07,60.0,1e-06,2024-04-29T08:01:07,2024-04-29T08:01:07,True,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:08,61.0,1.0005461798593326e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:09,62.0,1.0011421993504613e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:10,63.0,1.0017786827010674e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:11,64.0,1.0024462541388334e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:12,65.0,1.003135537891441e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:13,66.0,1.0038371581865723e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:14,67.0,1.0045417392519095e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:15,68.0,1.0052399053151339e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:16,69.0,1.0059222806039283e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:17,70.0,1.0065794893459743e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:18,71.0,1.007202155768954e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:19,72.0,1.0077809041005493e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:20,73.0,1.0083063585684423e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:21,74.0,1.0087691434003147e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:22,75.0,1.0091598828238488e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:23,76.0,1.0094692010667265e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:24,77.0,1.0096877223566296e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:25,78.0,1.0098060709212403e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:26,79.0,1.0098148709882405e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:27,80.0,1.0097047467853123e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:28,81.0,1.0094663225401375e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:29,82.0,1.0090902224803984e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:30,83.0,1.0085670708337764e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:31,84.0,1.007887491827954e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:32,85.0,1.007042109690613e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:33,86.0,1.0060215486494358e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:34,87.0,1.0048164329321036e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:35,88.0,1.003417386766299e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:36,89.0,1.001815034379704e-06,2024-04-29T08:01:07,2024-04-29T08:01:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,original_30s_point,2024-04-29 08:01:37,90.0,1e-06,2024-04-29T08:01:37,2024-04-29T08:01:37,True,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:38,91.0,9.979703097803835e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:39,92.0,9.957535975761082e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:40,93.0,9.933848991679402e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:41,94.0,9.908992503366483e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:42,95.0,9.883316868629983e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:43,96.0,9.857172445277585e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:44,97.0,9.830909591116962e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:45,98.0,9.804878663955782e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:46,99.0,9.779430021601721e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:47,100.0,9.754914021862451e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:48,101.0,9.731681022545647e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:49,102.0,9.710081381458982e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:50,103.0,9.690465456410126e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:51,104.0,9.673183605206755e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:52,105.0,9.658586185656545e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:53,106.0,9.64702355556716e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:54,107.0,9.638846072746284e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:55,108.0,9.634404095001582e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:56,109.0,9.63404798014073e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:57,110.0,9.638128085971405e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:58,111.0,9.646994770301272e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:01:59,112.0,9.660998390938012e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:02:00,113.0,9.680489305689293e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:02:01,114.0,9.705817872362788e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:02:02,115.0,9.737334448766176e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:02:03,116.0,9.775389392707122e-07,2024-04-29T08:01:37,2024-04-29T08:02:07,False,False,True,4月29日08_00_4月29日18_00.xlsx
