dataset_version,voyage_id,split,time_original_or_reconstructed,timestamp,time_s,load_total_kw,source_interval_start_time,source_interval_end_time,is_original_30s_point,online_feasible,uses_future_endpoint,file_name
cubic_spline_1s_natural_clipped,voyage_042,train,original_30s_point,2024-06-07 00:00:18,0.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:18,True,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:19,1.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:20,2.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:21,3.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:22,4.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:23,5.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:24,6.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:25,7.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:26,8.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:27,9.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:28,10.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:29,11.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:30,12.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:31,13.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:32,14.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:33,15.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:34,16.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:35,17.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:36,18.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:37,19.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:38,20.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:39,21.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:40,22.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:41,23.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:42,24.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:43,25.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:44,26.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:45,27.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:46,28.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,reconstructed_1s_point,2024-06-07 00:00:47,29.0,0.0,2024-06-07T00:00:18,2024-06-07T00:00:48,False,False,True,6月7日00_00_6月7日24_00.xlsx
cubic_spline_1s_natural_clipped,voyage_042,train,original_30s_point,2024-06-07 00:00:48,30.0,0.0,2024-06-07T00:00:48,2024-06-07T00:00:48,True,False,True,6月7日00_00_6月7日24_00.xlsx
