timestamp,parent,左氢燃料电池#1_kw,左氢燃料电池#1_stopped,左氢燃料电池#2_kw,左氢燃料电池#2_stopped,左氢燃料电池#3_kw,左氢燃料电池#3_stopped,左氢燃料电池#4_kw,左氢燃料电池#4_stopped,左电池簇1_kw,左电池簇1_soc,左电池簇2_kw,左电池簇2_soc,左电池簇3_kw,左电池簇3_soc,左电池簇4_kw,左电池簇4_soc,左电池簇5_kw,左电池簇5_soc,左电池簇6_kw,左电池簇6_soc,左逆变电源_kw,右氢燃料电池#1_kw,右氢燃料电池#1_stopped,右氢燃料电池#2_kw,右氢燃料电池#2_stopped,右氢燃料电池#3_kw,右氢燃料电池#3_stopped,右氢燃料电池#4_kw,右氢燃料电池#4_stopped,右电池簇1_kw,右电池簇1_soc,右电池簇2_kw,右电池簇2_soc,右电池簇3_kw,右电池簇3_soc,右电池簇4_kw,右电池簇4_soc,右电池簇5_kw,右电池簇5_soc,右电池簇6_kw,右电池簇6_soc,右逆变电源_kw,fc_total_kw,battery_total_kw,load_total_kw,soc_mean_pct,soc_channel_count,fc_all_stopped,inverter_total_kw,aligned,speed_kn,speed_source,state_class,correction,eligible
2024-04-17 14:05:11,4月17日07_00_4月17日17_00,24,0,0,0,23,0,23,0,8.47,67.3,8.58,65.1,10.7445,66.3,10.8547,66.2,10.101,69,10.3785,67.4,18.9,24,0,24,0,24,0,25,0,3.98652,74,3.5584,76.6,-8.96,68,-11.844,67.7,2.0048,71,1.86147,71.8,39.3,167,49.73589,216.73589,69.2,12,False,58.2,True,0.4,linear,normal_operation,none,True
2024-04-17 14:05:41,4月17日07_00_4月17日17_00,25,0,0,0,23,0,23,0,1.97616,67.3,1.83816,65.1,0.425472,66.3,0.85316,66.2,5.55886,69,5.838,67.4,18.9,24,0,24,0,25,0,25,0,-1.82466,74,-2.52109,76.6,6.4055,68,6.3393,67.8,-0.086645,71,0.286208,71.8,39.6,169,25.088425,194.088425,69.2083333333,12,False,58.5,True,1.665,linear,normal_operation,none,True
2024-04-17 14:06:11,4月17日07_00_4月17日17_00,25,0,0,0,23,0,23,0,2.82624,67.2,2.68272,65.1,6.9125,66.2,6.9125,66.2,0.85932,69,0.428544,67.4,19,24,0,24,0,24,0,25,0,-3.66704,74,-4.37138,76.6,-3.86828,68,-3.35548,67.8,-2.8952,71.1,-4.0488,71.9,40.8,168,-1.584356,166.415644,69.2083333333,12,False,59.8,True,2.9,linear,normal_operation,none,True
2024-04-17 14:06:41,4月17日07_00_4月17日17_00,24,0,0,0,23,0,24,0,15.4818,67.2,15.7563,65.1,12.2873,66.2,11.4057,66.1,6.127,69,6.127,67.3,19.1,24,0,24,0,24,0,24,0,11.3775,74,10.6752,76.6,4.99072,68,4.8807,67.7,8.6892,71,8.5778,71.8,40,167,116.37622,283.37622,69.1666666667,12,False,59.1,True,2.9,linear,normal_operation,none,True
2024-04-17 14:07:11,4月17日07_00_4月17日17_00,24,0,0,0,23,0,24,0,17.81,67.1,17.81,65,13.6648,66.1,14.3811,66.1,12.654,68.9,12.099,67.3,19.2,24,0,24,0,25,0,25,0,17.5301,73.9,16.4538,76.5,15.0405,67.9,13.5837,67.7,15.318,71,16.0395,71.8,39.5,169,182.3845,351.3845,69.1083333333,12,False,58.7,True,2.9,linear,normal_operation,none,True
2024-04-17 14:07:41,4月17日07_00_4月17日17_00,25,0,0,0,23,0,24,0,22.659,67,22.7682,64.9,10.8547,66.1,9.7527,66,14.7364,68.8,15.2904,67.2,21,24,0,24,0,24,0,25,0,21.4339,73.8,20.9208,76.4,19.9272,67.8,20.0716,67.6,13.3514,70.9,14.1824,71.7,40.5,169,205.9487,374.9487,69.0166666667,12,False,61.5,True,2.9,linear,normal_operation,none,True
2024-04-17 14:08:11,4月17日07_00_4月17日17_00,24,0,0,0,23,0,24,0,9.2781,66.9,9.1134,64.8,21.2463,66,20.3679,65.9,16.59,68.7,16.9771,67.1,19.4,24,0,24,0,25,0,24,0,21.1584,73.7,20.0564,76.3,16.9464,67.7,17.205,67.5,17.143,70.8,15.7336,71.6,41.8,168,201.8156,369.8156,68.9166666667,12,False,61.2,True,4,linear,normal_operation,none,True
2024-04-17 14:08:41,4月17日07_00_4月17日17_00,25,0,0,0,23,0,23,0,13.5904,66.9,14.0544,64.7,14.2191,65.9,14.0544,65.8,16.1476,68.7,16.7006,67,20.5,24,0,24,0,24,0,24,0,13.9656,73.6,12.3096,76.2,14.6832,67.7,14.4004,67.4,22.591,70.7,22.9767,71.5,39.7,167,189.693,356.693,68.8416666667,12,False,60.2,True,10.54,linear,normal_operation,none,True
2024-04-17 14:09:11,4月17日07_00_4月17日17_00,25,0,0,0,23,0,23,0,20.5672,66.8,21.2783,64.6,12.375,65.8,12.1,65.7,14.3227,68.6,14.8757,67,20.1,24,0,24,0,25,0,25,0,9.3457,73.5,8.0884,76.2,17.081,67.6,17.316,67.3,25.63,70.6,25.905,71.4,40.5,169,198.885,367.885,68.7583333333,12,False,60.6,True,10.5055555556,linear,normal_operation,none,True
2024-04-17 14:09:41,4月17日07_00_4月17日17_00,24,0,0,0,23,0,24,0,14.7412,66.7,15.0152,64.5,16.7445,65.7,15.4818,65.7,14.8757,68.5,15.2628,66.9,20.6,24,0,24,0,25,0,24,0,9.1798,73.5,7.6452,76.1,17.4667,67.5,17.5935,67.2,26.0226,70.4,26.5716,71.2,42.7,168,196.6006,364.6006,68.6583333333,12,False,63.3,True,10.6,linear,normal_operation,none,True
